Package name,Reviewer name,Review,Rating
com.agadmator.chessclock,Great Ape Adventure,lacks features like move counter additional time increments,4
com.agadmator.chessclock,Devan Kingsford,fantastic love whole screen button dont precise dexterous youre quick game,5
com.agadmator.chessclock,Dan Walker,simple effective love,5
com.agadmator.chessclock,Urban Pompe,ndurr rjnns esgigyqsvgyby,3
com.agadmator.chessclock,Mateus Rodolfo,good app would five stars one could choose bronstein simple delay settings theres simple delay option,4
com.agadmator.chessclock,muhammad farooqui,intuitive app would appreciated move counter option linked various time control games,5
com.agadmator.chessclock,Andrea Balandini,excellent wish could adjust font size numbers seem bit small,5
com.agadmator.chessclock,Karl Weyenberg,simple aestthically pleasing click sound hit clock pleasing well,5
com.agadmator.chessclock,Shawn,simply best cleanest chess clock ui entire app store easy use possible tho think u make feature add different stages eg adding thirty minutes forty moves maybe even custom increments stage app perfect,4
com.agadmator.chessclock,Secret Squirrel,perfect,5
com.agadmator.chessclock,Jack Sankey,nice clock visually unintuitive person whose turn muted color person bright red pause button kept thinking wrong persons turn added confusion game dark theme light theme looked similarly confusing anyway nice app pause button muted like gray bright red highlight around time currently ticking something elegant easy see peripheral vision,4
com.agadmator.chessclock,Peace Benson,nice app simple still required even set custom clock,5
com.agadmator.chessclock,TROY GAYMING,thank agadmator,5
com.agadmator.chessclock,Howwhy Workout and Fitness TV,good,5
com.agadmator.chessclock,Vishrut Manseta,best chess clock app ive used far custom presets well thought quick easy use simple design great app,5
com.agadmator.chessclock,Isaiah Leeds,perfect basic mobile chess clock,5
com.agadmator.chessclock,Xavier Chimbwe,impressive,5
com.agadmator.chessclock,Paul DeCamp,one works better first half dozen adless ones tried features work nice customizable option best feature,5
com.agadmator.chessclock,Daniel Hernandez,hello everybody,5
com.agadmator.chessclock,Jeff Robertson,perfect,5
com.agadmator.chessclock,Kishor Wavhal,angad mathur,5
com.agadmator.chessclock,Ratomir Stojanovic,nice clean functional,5
com.agadmator.chessclock,Renato de Freitas,great chess clock,5
com.agadmator.chessclock,Manoj Manjunath,armageddon clock set,3
com.agadmator.chessclock,Hannes Artur Semper,nice chess clock lot options work negative side low time warning app bright hard see playing somewhere bright like outside,5
com.agadmator.chessclock,Jake Johnson,nothing improve works flawlessly zero ads,5
com.agadmator.chessclock,Jaitrik,awesome,5
com.agadmator.chessclock,Emil Boboc,feedback option app updates year way mute sound change something less annoying otherwise great app rate five improvements made,1
com.agadmator.chessclock,zancospancos,aesthetically pleasing interface appreciate resizes player hits custom clock setting names display exact settings good however wish clock stages could fifteen minutes first forty moves five minutes sudden death example,4
com.agadmator.chessclock,David Polehonski,great app smooth interface thing missing additional bonus time reach given number moves move counter,4
com.agadmator.chessclock,NocturnalNick,perfect,5
com.agadmator.chessclock,someone,simple perfect ill still give five stars wish higher contrast setting,5
com.agadmator.chessclock,Fernando Cortes Aviles,chess clock designed real chess player ads play clean app require much space,5
com.agadmator.chessclock,Pri,easy use like way looks,5
com.agadmator.chessclock,Harshit Sharma,simple adeqaute less space consuming app perfect chess clock,5
com.agadmator.chessclock,Max Potts,hello everyone find clock animation gets way faster play turn options doesnt look cool lets clock switch faster,5
com.agadmator.chessclock,Leon Nel,exactly needed,5
com.agadmator.chessclock,George Romao,money never sleeps,3
com.agadmator.chessclock,sarvjeet singh,best category works better seamlessly others smooth animations,5
com.agadmator.chessclock,KingTreviSam 8,best chess clock,5
com.agadmator.chessclock,Ibrahim A,nice app would nice give chance cancel pause needed,3
com.agadmator.chessclock,Daniel Sakala,amazing,5
com.agadmator.chessclock,yasiu cyber,app good stole girlfriend wasnt even mad,5
com.agadmator.chessclock,G Thomas,simply best chess clock best chess ytuber completely satisfied,5
com.agadmator.chessclock,Anubhav Dixit,gives classical sound ticktick loved,5
com.agadmator.chessclock,Roby Suryatama,agad online teacher support work,5
com.agadmator.chessclock,Michael Cohen,easy use totally customizable greatvwork,5
com.agadmator.chessclock,Target Noggin,much better apps,1
com.agadmator.chessclock,Juan C,enjoyed far especially like time button screen also easy use,5
