Package name,Reviewer name,Review,Rating
com.chess,Crisjohn Andrewcel dela Peña,strategy game good game want learn game chess set go,5
com.chess,Nguyễn Minh Đạt,game li,1
com.chess,Joe Richey,dull bitter taste mouth currently twice middle game game window disappeared mobile lost games abandonment option area gui find game rejoin game seems though site plagued cheating players well many times wierd nonhuman moves made seems lower ranking players playing higher ninetyfive game uninstalling garbage,2
com.chess,Goggy55,amazing app,5
com.chess,John Trezise,good app play self line,5
com.chess,Abraham Manuel,something wrong app playing game jamed opponent timer running reached zero went profile wasnt showed times going win suddenly resignd auto unistall good like someone cheating results awefull,1
com.chess,Abhirup Mondal,rating five star recently facing problem matchmaking showing network connect even though full network services thank,5
com.chess,Nitin Navgane,best platform practice,5
com.chess,Roy Loh,connectivity absolute trash ive lost multiple games result sudden disconnections even 5g,1
com.chess,Zain ul Abdin Rajput,bad server connectivity lost many times game disconnects even though internet working completely fine terrible experience,1
com.chess,Aris kolivas,bad app winning position sudden get autoresign lost match five games got two times lost matches course piece tab doesnt goes every move make moves never wanted make terrible,1
com.chess,raju boppani,fast connecting games,5
com.chess,PRIYTAM KUMAR,love app definitely one want play challenging game kudo team thanks ton making app thing would like request provide incentives best performer like free subscription puzzle etc someone wins three ten matches row keep scoreranking 1k could anything definately make playing engaging,4
com.chess,Rhayan Job Bautista,responding normal right saying low internet connection checked speed connection phone finethis caused one hundred rating points please fix thisits driving mad every time happens,2
com.chess,Wanted Gm Productions,unfortunately theres many random bugs connection drops reason app launching new games open app end costing much elo make risk using app worth stick browser version,2
com.chess,Daniel Brodersen,game loses connection match time great internet forces autoresign trash,1
com.chess,Fardeen Alam,despite good network connection sometime shows network issue,2
com.chess,Knowledge Club,bad app working,1
com.chess,Vasilis Leandrou,bad server used ok also lot cheaters unfair players,1
com.chess,Joshua Macdonald,well put together best chess app ive used thus far short coming one loses signal momentarily struggles refresh game often aborts,4
com.chess,Pratik Marda,getting auto resigned despite good network never install app,1
com.chess,Bulgarian country ball,best cheess app,5
com.chess,ulxi,stressful game never played someone level,1
com.chess,Reynold Bartolome,ngl great unlike pc version cannot draw arrows igiits supported really want,4
com.chess,Rocky Fox,downloaded choose username username already use choose different username username already use try eight times result piss delete,1
com.chess,Hafeez Khan,worst servers ever lost one hundred points ratings game shows bad connection even good wifi pathetic service one leading chess company,1
com.chess,Hardik Makvana,able chat low connection,1
com.chess,Leetroxor,nice ui app nice overall timesync really bad connection servers slow latency randomly disconnects causing loss games already tried clearing cache etc,2
com.chess,VISHAL ACHARYA,game resign automatically even alright ane net connection good damnnn,1
com.chess,Ayoub Najjar,match suddenly auto resign timer begun nothing move lose rating winning positions nothing wrong connection,1
com.chess,Eliot Usi,keeps lagging apparent reason despite region strong connectivity lichess superior terms stability,1
com.chess,Rakesh Gupta,bad experience keep disconnect despite strong wifi network lost two matches bcoz,1
com.chess,Daria Markovits,glitches,3
com.chess,Kala Hira,chess brain game,5
com.chess,Manas Thakur,op,5
com.chess,Mesuli Mthembu,best,5
com.chess,sei,best app frl,5
com.chess,DJ HOX,nice app cannot chat,4
com.chess,nagaraju nagu,super,5
com.chess,Sahil Singh,worst experience ever didnt allowed go username everything taken names allowed,1
com.chess,Sarthak Sahu,even 150mbps internet connection network issues spoted,1
com.chess,vijayalakshmi,good game play friends yipeee,5
com.chess,ARMAN KAMIL,horrible experience play auto resign workmine fifteen sec auto resign starr,1
com.chess,Joshua McKellar,lose every game rated thirtyfour great game,5
com.chess,Hakim Sadri,interesting,5
com.chess,Vishwanath Birajdar,best chess game,5
com.chess,Akshay Chaudhary,classic always find player play limited puzzles daily annoying still really good themes interface like universal app play chess homies use time,5
com.chess,Hardik Raval,awesome,5
com.chess,skyler Estay09,nice,5
com.chess,Larry King,good app learn chess,5
com.chess,Roel Dulangon,good begineers easy follow,5
com.chess,Артур Букумбаев,,5
com.chess,Kumari Sgp,,5
com.chess,Mattshea Is cool,yes actually good tho sometimes,5
com.chess,Joseph Paul,would great free services available,4
com.chess,Austin Boone,chess,5
com.chess,Paul Walters,fun play,5
com.chess,Joseph Latham,dont need know many mistakes made game see make toggle,3
com.chess,Ihjas Ahammed,like game best chess game availble android analysis offline great thing,5
com.chess,Joel Cerva,easy use,4
com.chess,Alex Zerbea,good game dont like signals queen danger players forced move wont able punish mistakes doesnt unlimited reviews game sucks amazing game really fun,4
com.chess,Nicolas Silva,easy misclick mobile maybe add mode confirm move committing move,4
com.chess,ZA BOZ,saw andrew tate play,5
com.chess,Steph Halen,idea happened latest update analysis tool absolutely useless right please fix soon possible,1
com.chess,Danny Orcel,downloaded lessons deleted lessons arent free,1
com.chess,James H,game register moves seconds even wifi play smaller time limits loose games,3
com.chess,John Gittins,im often kicked games poor connection matter wether im using data wifi annoying auto resigns lose points reason wouldnt fussed wasnt premium member feels like bit basic problem shouldnt happening,2
com.chess,yeet boys me,love chess makes much easier play shows wrong end game,5
com.chess,Logan Dunson,love beating brother,5
com.chess,Savannah Hettick,like app make things free,3
com.chess,dyzqy,pretty cool,5
com.chess,Michael Basezzi,bravi,5
com.chess,Martin H-E,frustrating largely okish number niggling issues app ranks around four hundred fifty thousand six hundred 10min chess matches players similar rank however players often bots app pretends real players obvious use book moves well play piece immediately monthly subscription provides one game review day poor ie eight blunders one minute win eightyfive accuracy pieces lost go figure training also v poor,1
com.chess,Augustine Consult,excellent app enjoy chess anywhere anytime everywhere,4
com.chess,Cell Omt66,best learn get better jus play normally u know chess highly recommended,5
com.chess,Furqan Kasir,apic online chess platform,5
com.chess,Юссиф Моазен,gg,5
com.chess,Jeff Cooper,fantastic app really helps improve always find good game player roughly skill level ninetynine people friendly dont cheat small proportion get found puzzles challenges make think lessons regarding tactics really helped improve thanks great app,5
com.chess,c madden,best online chess whole world,5
com.chess,Sadiqullah Khan,game passes valid check chill asnd cool like,5
