Package name,Reviewer name,Review,Rating
com.hapticapps.ct,percy mashego,fairly good app though delays finding opponent,3
com.hapticapps.ct,Jim,great,5
com.hapticapps.ct,michael ikeanumba,app deserve five star plus dont know issues timing frustrates playing dont really know phone poor network location,4
com.hapticapps.ct,EJ Church,pretty good would give five stars allowed continued board interaction review modes game stops last move way continue exploring various endings eg opponent forfeits early analyze playing jam etc,3
com.hapticapps.ct,shane wilps,excellent pace play options skill levels minimal ad interruption,5
com.hapticapps.ct,hasan usman,gg,4
com.hapticapps.ct,David Dollinss,quick fun chess,5
com.hapticapps.ct,RABACHI Stone,freezes lot causes lost,2
com.hapticapps.ct,arul raj arul raj,good,5
com.hapticapps.ct,karthik babu,working,4
com.hapticapps.ct,Swapnil P,update current version pathetic laggy comfortable ui layout stuggles connectivity feels like data harvester need change original layout developers fix stop ruining game original review earlier versions nicely designed game almost everything chess game two features missing one option favorite star specific match two indicator show chatting game,2
com.hapticapps.ct,Jonnny Cool 666,love watch spammers great competition good people great players,4
com.hapticapps.ct,Jasper Kinnear,damn goog game,5
com.hapticapps.ct,Gregory Green,good game interaction,5
com.hapticapps.ct,Alvin Tate,fix timer crazy useless cheat code game hack give code,1
com.hapticapps.ct,Dheeraj Dharshan,super game never ever,5
com.hapticapps.ct,Mosesriadi,would nice chat could appear page board,3
com.hapticapps.ct,Joel Scott,awesome around,5
com.hapticapps.ct,Anthony Kendricks,great tool play people different levels opposed paying computer im getting used learning app gets two thumbs,5
com.hapticapps.ct,Alvaro De La Garza,ok,4
com.hapticapps.ct,Jason Giusti,love app,5
com.hapticapps.ct,Arsem Avelis,delay time crash time wont open maybe issue fix ill give star timer headaches super delay,1
com.hapticapps.ct,Angelo Rivera,like keep game,5
com.hapticapps.ct,Edmund Kearney,great excellent app chess player,5
com.hapticapps.ct,Pramod Bhalerao,good game,5
com.hapticapps.ct,conomae Son,like many option app offer tried many different chess app one far favorite,5
com.hapticapps.ct,Mar Sinadjan,slow matchmaking,1
com.hapticapps.ct,DeArius Brevard,make better tournaments results scored points improve abandon games avoid cheaters advance tournaments players oldest players,3
