Package name,Reviewer name,Review,Rating
com.kokajin.applications.chessclock,Victor Chibwe,never expected find quality clock like one best chess clock ive ever come across,5
com.kokajin.applications.chessclock,Arpan Kodali,nice chess clock app,5
com.kokajin.applications.chessclock,Stefano Fiorani,app seems good nice clean since im planning use clock chess different game ie hive would nice albeit totally superfluous option show near timers short hexagonal prisms instead kings know disable chess icons end bothering much thought since looks like encourage feedback users would like hear bye bye three,5
com.kokajin.applications.chessclock,Aldi Gozali,tried least three different chess timer apps one far best app meets expectations sound timeend also asymmetrical time setting also able display view landscape,5
com.kokajin.applications.chessclock,StvRdhll,nice app flexible use backgammon matches suggest colour options settings,4
com.kokajin.applications.chessclock,Vinay Khemka,good excellent,5
com.kokajin.applications.chessclock,Ayden Thomas Chan,far experience good reseting clock ad overall bad chess clock,4
com.kokajin.applications.chessclock,Franz Schmidt,best chess clock especially teaching learners new competitive play,5
com.kokajin.applications.chessclock,Gennady Duchovich,one stop shop virtual chess clock covers everything wish superior opinion colour schemes predefined timer templates various types clocks classic fide setting different times per player showing kings player names features free paid small fee anyways remove ads give deserved credit developer efforts kudos,5
com.kokajin.applications.chessclock,B Dee,simply good,5
com.kokajin.applications.chessclock,doe,incredibly customizable everything could want chess clock app even fide,5
com.kokajin.applications.chessclock,M KARTHIKA,ok,2
com.kokajin.applications.chessclock,Bombarde Ajaykumar,best app seen chess match,5
com.kokajin.applications.chessclock,Rosamund De Florimont,good practical chess clock app issue found us limit possible game programs recommend,5
com.kokajin.applications.chessclock,KRISHNA KUMAR,good,5
com.kokajin.applications.chessclock,Murugavel Yadav,user friendly amazing app,5
com.kokajin.applications.chessclock,Gaddam Suseela,good,5
com.kokajin.applications.chessclock,Vandana Gupta,best app like much,5
com.kokajin.applications.chessclock,Quang Bách,better chess clock apps,5
com.kokajin.applications.chessclock,John Holler,guess took ads removed every action works fine,5
com.kokajin.applications.chessclock,Deepa Aswal,great app,5
com.kokajin.applications.chessclock,Bahman Jabbari,good app,5
com.kokajin.applications.chessclock,Kervy Baring,nice interface use full screen top two chess timer app,5
com.kokajin.applications.chessclock,sreekanth Kc,simply beautiful app,5
