Package name,Reviewer name,Review,Rating
com.zynga.chess.googleplay,Abdul Gafoor,good time pass,4
com.zynga.chess.googleplay,Joseph Viola,ads every move,1
com.zynga.chess.googleplay,Rodney Person,freezes says sync,4
com.zynga.chess.googleplay,Curtis Watson,move game freezes,2
com.zynga.chess.googleplay,Lonjino Gastelum,aaaadddsssss every move ad ten get rid confirm every move times moves wouldnt register friend couldnt make game uninstalled,1
com.zynga.chess.googleplay,Heather Andersen,would enjoy lot two things high frequency corrupted games losses tallied due forfeits incurred took break playing frustration,3
com.zynga.chess.googleplay,Peter A,zero id give would like 50move game investing weeks well end game sudden get synccorrupt game left app almost two years ago came back moments go left six hundred days story isnt unique maybe elon musk buy zynga take flame thrower company doesnt care least,1
com.zynga.chess.googleplay,John Chandler,awesome love playing people around world,5
com.zynga.chess.googleplay,Fifteen Dollar League,issues need fixed average good playing game,3
com.zynga.chess.googleplay,Pablos27,doesnt register wins get many games saying curupt game winning position goes sinc option play four days rediculousl options,1
com.zynga.chess.googleplay,Sarah Lansing,well id like except game corrupts almost every game havent played please fix bug,3
com.zynga.chess.googleplay,Matthew Kelso,great,5
com.zynga.chess.googleplay,Shane Gorman,glitchy af ruins games gets corrupted sort,2
com.zynga.chess.googleplay,Douglas Slaton,constant duplicate games sync issues game corruptions bother deleted,1
com.zynga.chess.googleplay,Michael Filiatrault,glitches games get corrupted,1
com.zynga.chess.googleplay,larry W00fman,restricted moves allowed capture opponent pieces,1
com.zynga.chess.googleplay,Cuddy Ranks,takes long move,1
com.zynga.chess.googleplay,Thomas Garza,exciting,5
com.zynga.chess.googleplay,David Russell,adds,5
com.zynga.chess.googleplay,Dennis Vidal,fun first keeps saying corrupted game letting game continue playing friend four different games three day gave app,1
com.zynga.chess.googleplay,Reuel Clay,live game ches,5
com.zynga.chess.googleplay,jaime frausto,keeps crashing,1
com.zynga.chess.googleplay,trottski4891,fun play many error logscorrupt games cancels game,4
com.zynga.chess.googleplay,Carr Duncan,corrupt games continue issue one game board one hundred seven days another ninetythree days lastest one day,1
com.zynga.chess.googleplay,Mark Welding,absolute poop,1
com.zynga.chess.googleplay,Simran Gupta,useless,1
com.zynga.chess.googleplay,C_Kretur Of _BaNKHoe,every game gets corrupted point u cant finish app major bugs disappointment,1
com.zynga.chess.googleplay,Morgan Perry w,good,5
com.zynga.chess.googleplay,Steve Hirsch,fun stuff glitchy,4
com.zynga.chess.googleplay,Mark Richardson,ten year user,5
com.zynga.chess.googleplay,Hamid Pouri,good,5
com.zynga.chess.googleplay,J.R. Davis,adds suck take way much time ten much remove uninstalling next,1
com.zynga.chess.googleplay,Analee Gonzalez,cant finish game without getting message saying game corrupt im forced forfeit could fix glitch app would amazing,1
com.zynga.chess.googleplay,Beatrix Jasper,ads much secondly dont understand app keeps closing loading,2
com.zynga.chess.googleplay,Essie Coons,needs help glitchy games get corrupted,2
com.zynga.chess.googleplay,samuel david,really love,5
com.zynga.chess.googleplay,R H,app hardly works find another,1
com.zynga.chess.googleplay,Morgan Stewart,wont let sign facebook email even changed password still wont let play game straight garbage,1
com.zynga.chess.googleplay,James Jachimski,left zynga years ago still hating,1
com.zynga.chess.googleplay,Geophysical Emeh,good,5
com.zynga.chess.googleplay,Neyo Richie,annie love chess,5
com.zynga.chess.googleplay,Christopher Jones,great,5
com.zynga.chess.googleplay,Mitch Honan,pretty good,4
com.zynga.chess.googleplay,Anosikeh Ikechwkwu,game becoming frud stealing point game becoming nonsense give back points right awoh game game rubbish seriously cannot refer someone rubbish game try make updates rubbish order people live gamebut earth loosing points reason guys better game well im living awuf game cant really remember game rubbish someones game,1
com.zynga.chess.googleplay,Mandy Jones,hate playing thirty second ads turn paying heaps money lose ads uninstalling,1
com.zynga.chess.googleplay,Michael R,really bad connection playing even full service even wifi game freezes moves get overlapped opponents idk device specificsamsung galaxy z fold 3but trying select move doesnt always load also way many ads ad options expensive quality game errors issues stated,1
com.zynga.chess.googleplay,Gabriel Logulo,ads annoying ios version way uptodate feels like samsung version broken buggy piece junk reason still use app easy connect people play chess still havent updated garbage app avoid dont download basically abandoned even though still plenty bugs glitches,1
com.zynga.chess.googleplay,Paul Manning,may well rename flogging crypto strangers,1
com.zynga.chess.googleplay,Marlon Banner,ad every move sucks,1
com.zynga.chess.googleplay,Richard Hollifield,game works great pick opponents carefuly lol,5
com.zynga.chess.googleplay,Dax Eazor,many corrupt games thirteen games open three activeother ten either corrupt doesnt move player refuses move horrible,1
com.zynga.chess.googleplay,Bethani Jo,game good keeps saying game sync corrupted game randomly take several minutes load moves playable,1
com.zynga.chess.googleplay,Andrew Peoples,issues loading times,4
com.zynga.chess.googleplay,inky astro,used love still time time gives wins opponent actually games get stuck cant make move also play good game game corrupts last move upsettingplease fix becuz chess favorite pass timei took star back still four,4
com.zynga.chess.googleplay,Heather Sklar,problem app gad iphone horrible android phones horrible,2
com.zynga.chess.googleplay,Binta Sani,nice game,5
com.zynga.chess.googleplay,Stephon Hawkins,synccorrupted game thats every single one games become forgot left app years back n quickly reminded ads every move ap freeze wont show opponents moves corrupted game never finish game much better years ago things changed rating five one devs never fixed years long issues,1
com.zynga.chess.googleplay,all bangla funny videos,good,5
com.zynga.chess.googleplay,Melissa Stofey,great app,5
com.zynga.chess.googleplay,Darryl Williams,ive played two games two thousand twentytwo corrupted one game even allow game completed expect 2nd one also die completion give us nonsense aware issue confident nobody cares product usless,1
com.zynga.chess.googleplay,Nico Viruet,lot corrupted games im winning feels like people cheating system,2
com.zynga.chess.googleplay,James Evans,besides corrupt game issue good game,3
com.zynga.chess.googleplay,Theodore Russell,cant stop playing,5
com.zynga.chess.googleplay,Kingsley Eze,really nice appbut lots ads anytime make moveads pops uptired,4
com.zynga.chess.googleplay,Robin Gardener,,5
com.zynga.chess.googleplay,Duane Qualls,,5
com.zynga.chess.googleplay,Marshall Gracia,good easy play,4
com.zynga.chess.googleplay,Deez Nutz,lots bots ads,2
com.zynga.chess.googleplay,Jessica Love,husband started game sent notification move wouldnt take game unless viewed profile tapped game progress wouldnt let make moves tried starting game accepted game never given option made move wouldnt let anything terrible app,1
com.zynga.chess.googleplay,Alan Robinson (Chilly),cant play facebook anymore,2
com.zynga.chess.googleplay,G1333,games keep getting corrupted middle game changing another chess app,3
com.zynga.chess.googleplay,Linda Little,corrupt game cant finish one match without getting sync,1
com.zynga.chess.googleplay,Chukwuma Azodo,many damn ads,1
com.zynga.chess.googleplay,Ramsey Godwin,kind app keep getting corrupted games ill close winning game next thing see game corrupted wont able continue fairly please fix,1
com.zynga.chess.googleplay,Knight Shinning,perfect,5
com.zynga.chess.googleplay,Julio Lopez,struggle buttons could phone otherwise good app play real people,3
com.zynga.chess.googleplay,Shawn Rayl,garage,1
com.zynga.chess.googleplay,GREGORY HAGADORN,many adds,2
com.zynga.chess.googleplay,George Ganjei,great program lets easily play chess facebook friends random players also option invite players us cell say simple bc program lacks advanced options time settings instead move must played within five days works really well correspondence style play however wish game way invite players email downside sometimes game get corrupted reason hence fortyfive great app,4
com.zynga.chess.googleplay,Charles Williams,bit buggy many syncing errors way sometimes fix forceclosing app reopening,3
com.zynga.chess.googleplay,Anna,great game,5
com.zynga.chess.googleplay,ernest stewart,great,5
com.zynga.chess.googleplay,Mohan Moparthy,bad,1
com.zynga.chess.googleplay,Kenny Barber,app absolute joke friend used play apps smart phones really thing yesterday tried play twelve games couldnt complete single one corrupted two thousand twentytwo get together get way,1
com.zynga.chess.googleplay,D. Ryan Junior,keeps closing uninstall reinstall play cant hear game music three years later app still functioning like garbage glitchy close reopen app see opponent moves notifications open app game youre notified six years later app still garbage af love chess connects facebookplease step software,3
com.zynga.chess.googleplay,Don Bale,many corrupted games cant delete,3
com.zynga.chess.googleplay,zen jentree,ok app glitchy,3
com.zynga.chess.googleplay,Ekiye Akposeye,ads annoying,3
com.zynga.chess.googleplay,Gerrami Bell,kewl app little buggy definitely enjoy though,4
com.zynga.chess.googleplay,Ryan Smart,getting turn notification,1
com.zynga.chess.googleplay,John Croen,great game years ago recently reinstalled tried play friend online every single game corrupted,1
com.zynga.chess.googleplay,James Cooper,tons ads fans crashes often,1
com.zynga.chess.googleplay,Noah Northcutt,three losses havent even completed single gamem thats stupid also ad every move seems little moneygrubbing,3
com.zynga.chess.googleplay,Jaiyeoba Samuel,yeah cool,5
com.zynga.chess.googleplay,modena1983,every match corrupted frustrated deleted couldnt finish single match without corrupting,2
com.zynga.chess.googleplay,Hayden,ads kill game every move youll ad,2
com.zynga.chess.googleplay,Shawn Robert,chess good,1
com.zynga.chess.googleplay,Peremi Monday Prince,always enjoy chess friends,5
com.zynga.chess.googleplay,Oliver Grant,love play new people think good learning experience,5
com.zynga.chess.googleplay,Timothy Tilley,corrupted games wont go away scammers engaging game dont agree chatting elsewhere listen investment ideas stop playing yet time never runs give win go days without making move lose circumventing rules app october eight months later still case app fix anything,1
com.zynga.chess.googleplay,willie,corrupted games completed ones always lag im choosing play games unsure continue using app two years later still issues developers dont care,2
com.zynga.chess.googleplay,Dream Team,best,5
com.zynga.chess.googleplay,Fly: I Am Playing My Guitar,game functions properly platform however seriously hijacked persistent really rude financial brokers trying fish sales exact thing identical mos cool player run dozen active games concurrently greatest game known human history,5
com.zynga.chess.googleplay,dilip vadher,begin platform true life saver challenging corvid nineteen times world state fear death lockdown near dears longer us chess friends best medicine keep mind active connecting around world like minded people young old great pleasure thanks chess friends finally support staff angels truly supported god bless platform wonderful,5
com.zynga.chess.googleplay,Black Man,many commercials playing friend glitches well,1
com.zynga.chess.googleplay,279 Priyank Kumar,many ads ruin experience,1
com.zynga.chess.googleplay,Richard Klement,often cant open games move many times game corrupted several moves check mate,1
com.zynga.chess.googleplay,Darlita Hill,give better ratings fix app,1
com.zynga.chess.googleplay,Hurtn4aSqueeze Gabriel C.,good game,5
com.zynga.chess.googleplay,Jeffro74 Jeffro74,yeahs luv play ten games time people around world,5
com.zynga.chess.googleplay,Dale Watkins,app number flawsdelete game reappear game go sync cannot removed recovered option keep games active longer vacation playing,2
com.zynga.chess.googleplay,Travis Higgins,fun game crashes frequently though,2
com.zynga.chess.googleplay,Brandon Barnard,signup option couldnt make account,1
com.zynga.chess.googleplay,Betty Boop,consistent corrupted games,3
com.zynga.chess.googleplay,Thomas DeVisscher,ad every move f thus app,1
com.zynga.chess.googleplay,joseph mcgowan,fun competitive thank,5
com.zynga.chess.googleplay,JohnPaul Garcia,paid app logged one time cant ever get claims tech support notified two months want money back,1
com.zynga.chess.googleplay,Gary Mullo,great,5
com.zynga.chess.googleplay,Lpmgato1,game great works however inexplicable reasons games frequently become corrupted freezing play often leads ending game completely regardless far along play may exceedingly frustrating,3
com.zynga.chess.googleplay,Gabriel Flores,buggy slow many ads look elsewhere chess app,2
com.zynga.chess.googleplay,Spartacus4000,garbage laggy,1
com.zynga.chess.googleplay,John Williams,good works keep,5
com.zynga.chess.googleplay,Robert LeBlanc,enjoy opponents world normally thirtyfive active games going app great would like challenge chess game handle mrpsalms currently almost one thousand wins four hundred seventy losses love watching opponents better skills also enjoy watching clean,5
com.zynga.chess.googleplay,michael o'donovan,good try play bot win tells game draw stalemate know play chess know win lose game allow win ever stalemate,1
com.zynga.chess.googleplay,KateEmpowers com,wonderful large variety skilled players world im android platform corrupted games often glitch normally corrects like chesswfriends,4
com.zynga.chess.googleplay,John Gausta,corrupt games becoming prevalent dropped rating two stars searching alternative,2
com.zynga.chess.googleplay,Justin English,horrible dumb,1
com.zynga.chess.googleplay,Martin Biller,unplayable broken mess corrupted game non stop fix,1
com.zynga.chess.googleplay,brian salter,pretty good app first started using iphone problems android version abysmal unfortunately recently introduced really invasive adverts damned nuisance app crashes regularly due bad programming really frustrating zynga fgs get act together,1
com.zynga.chess.googleplay,Anthony Brown,time game get loss opponent times dont get win got wins time outit would kind offset record misleadingalot timed losses time wins opponent times,3
com.zynga.chess.googleplay,Anthony Asael,way many sync problems,2
com.zynga.chess.googleplay,Masco Theophilus,love,5
com.zynga.chess.googleplay,Roberto Servin,corrupt game pops regularly cheating players victory move away checkmate suspiciousto many ppl soliciting agenda bitcoin cryptocurrency etc etc enjoying app much anymore permanently exit,1
com.zynga.chess.googleplay,Jerrylee,great app love love,5
com.zynga.chess.googleplay,Victor David,good interesting game,5
com.zynga.chess.googleplay,Doug Claxon,enjoy much first corrupted games seems since fixed plan continue play,5
com.zynga.chess.googleplay,Asonye Favour,nice app,4
com.zynga.chess.googleplay,Eric Robinson,ok game wont allow access games playing sometimes go game come back insometimes multiple times,3
com.zynga.chess.googleplay,Erenst Bowie,games getting better im learning much,5
com.zynga.chess.googleplay,A Google user,would like see game length options like speed game time limit etc also first time played somehow resigned accident hit back button android something,4
com.zynga.chess.googleplay,Vernell Womack,love game beta good may wrong think corrupt game happens try move backwardsor change move confirm,5
com.zynga.chess.googleplay,john joseph gooden sr,playable,4
com.zynga.chess.googleplay,Paul Mills,corrupted games nuisance,4
com.zynga.chess.googleplay,Armani Webb,wish finish one game,1
com.zynga.chess.googleplay,Atul Zalke,many advertising,1
com.zynga.chess.googleplay,Not so Anonymous,chess fine wierdly intrusive ads,3
com.zynga.chess.googleplay,Charles T,game sync error ruined bunch games,1
com.zynga.chess.googleplay,OgAcrylics klumpp,game freezes,2
com.zynga.chess.googleplay,Tihani Wai-Papas,signed fb another account connected app wont let sign actual account uninstallimg downloaded play friends complete strangers,1
com.zynga.chess.googleplay,martin gingerich,absolutely horrible experience twenty games get corruptedsorry phone,1
com.zynga.chess.googleplay,Graphix Designerx9,great,5
com.zynga.chess.googleplay,drAXIS_prime,kinda full bugs shouldnt take fortyfive taps open game full wifi 5g,1
com.zynga.chess.googleplay,Daniel C,best chess app great playing people knw,5
com.zynga.chess.googleplay,Hamid Mamaghani,satisfied good luck,5
com.zynga.chess.googleplay,Ro Castro,king disappeared board displayed opponents bishop,1
com.zynga.chess.googleplay,Johnny Beachy,multiple game crashes fifty games corrupted seven years ago great app today absolutely socks,1
com.zynga.chess.googleplay,Alice Jesse,good,5
com.zynga.chess.googleplay,JonLuke Hendricks,many corrupt games android,1
com.zynga.chess.googleplay,Rolando Marín Hdez,bad places ads every move make,1
com.zynga.chess.googleplay,Katie N,incredibly glitchy,1
com.zynga.chess.googleplay,Dheeraj Singh,foolish game every chance one add,1
com.zynga.chess.googleplay,S K,foolish game,1
com.zynga.chess.googleplay,terrell pusateri,lots games keep getting corrupted sucks losing game playing,2
com.zynga.chess.googleplay,Lelynd Hall,games get corrupted every move glitchy ten dont even get started ads,1
com.zynga.chess.googleplay,Derek Hall,glitchy work well,1
com.zynga.chess.googleplay,Hitesh Pandya,please something lots time damage game,5
com.zynga.chess.googleplay,jim bob,games get sync towards end robs well earned victory nearly everytime,1
com.zynga.chess.googleplay,Great Roland,love app,1
com.zynga.chess.googleplay,Edwin Promise,game interesting,5
com.zynga.chess.googleplay,DIGITAL CURRENCY EXCHANGE,great,5
com.zynga.chess.googleplay,Christopher Du'Pree,app horrible chess games keep getting corrupted,1
com.zynga.chess.googleplay,Christopher Carver,really many ads would purchase full version seems lil much charge users less advertisers,4
com.zynga.chess.googleplay,David Stewart,really enjoyed app iphone went android app doesnt work well others sad cause really enjoyed already set friends,2
com.zynga.chess.googleplay,Vernon Jones,corrupted games many getting worse something,2
com.zynga.chess.googleplay,Shely,great,5
com.zynga.chess.googleplay,Chris Wilke,cannot even log anything put username says username already existsand believe tried everything ten minutes,1
com.zynga.chess.googleplay,Edgar Lara,fun buggy,2
com.zynga.chess.googleplay,Ben P,password stolen zynga account password compromised use software,2
com.zynga.chess.googleplay,Shady Goalie476,fun,5
com.zynga.chess.googleplay,Christopher Parry,ten years fun,5
com.zynga.chess.googleplay,dean marsh,constant game corrupts try syncing avail,1
com.zynga.chess.googleplay,Tracy,way ads used,2
com.zynga.chess.googleplay,Eric Slater,cheese fun convenient app notifications randomly work ive several games freeze,3
com.zynga.chess.googleplay,Thevillain Chillin,many frozen games,4
com.zynga.chess.googleplay,Alex Bandera,huge lag,2
com.zynga.chess.googleplay,Alim Lutfi,experiencing lot corrupted game good,3
com.zynga.chess.googleplay,Emmanuel Onyekwe,good,5
com.zynga.chess.googleplay,Nicki Many,app good,1
com.zynga.chess.googleplay,Wesley Fisher,app computer,5
