Package name,Reviewer name,Review,Rating
giulio.di.maria.chessclock.google,James Doidge,great allows handicaps,5
giulio.di.maria.chessclock.google,Filip Gajić,nice minimalist chess clock yet necessary things need,5
giulio.di.maria.chessclock.google,Prateek Official,good,5
giulio.di.maria.chessclock.google,Elmer Masbate,gg,5
giulio.di.maria.chessclock.google,Philip Oribello,nice chess clock keep,5
giulio.di.maria.chessclock.google,James Rowland,works great thanks,5
giulio.di.maria.chessclock.google,Steve Bloom,good far byo yomi,4
giulio.di.maria.chessclock.google,HUMN RACE,great clock must download better clock play store mean gripe may nitpicking cannot give five stars shows color wheel preference tab option customize appearance im sorry team love app sheesh tease put color wheel like edit changed five stars turned ccm buttons white cannot cm two moves nice little detail,5
giulio.di.maria.chessclock.google,Momen Abukhadijah,everything well check button audioable make special sound,4
giulio.di.maria.chessclock.google,Neil Fitzcharles,fun family,5
giulio.di.maria.chessclock.google,Dnyaneshwar Dere,good nice,5
giulio.di.maria.chessclock.google,Charles Zulu (Office),easy use ads,5
giulio.di.maria.chessclock.google,James Pasuri,excellent beginners,5
giulio.di.maria.chessclock.google,Christie Udobong,good,5
giulio.di.maria.chessclock.google,Jack Sankey,nicely configurable want settings fonts dont quite fit zones causing ugly clipping wrapping worst word bronstein n next line half clipped im pixel 4a android twelve,5
giulio.di.maria.chessclock.google,M. Mazet,job,5
giulio.di.maria.chessclock.google,Arjunan Victor,good one easy use better many others,5
giulio.di.maria.chessclock.google,Gehazi Liu,nice app,5
giulio.di.maria.chessclock.google,pradeep paranjpe,good,5
giulio.di.maria.chessclock.google,Tanishq Mishra,best ever chess clock app used till add desired time player sounds would say chess clock app need,5
giulio.di.maria.chessclock.google,鱼闲着没事,useful,5
giulio.di.maria.chessclock.google,Gibus,name suggests,5
giulio.di.maria.chessclock.google,hendra setiawan,great,5
giulio.di.maria.chessclock.google,Acknos shadaya,five star thank u taking recommendations consideration,5
giulio.di.maria.chessclock.google,Supravan Barman,good,5
giulio.di.maria.chessclock.google,Joseph Benson Garay,app nice,3
giulio.di.maria.chessclock.google,Hachem Boubaker,good app great tool would recommend everyone,5
giulio.di.maria.chessclock.google,Hưng Ngô,time chess move well eg fifteen minutes game two minutes move,5
giulio.di.maria.chessclock.google,David Carling,nice app one find allows giving time odds one nice build would option hide hundreths second,5
giulio.di.maria.chessclock.google,J. Vallon,even better one design clean clear,5
giulio.di.maria.chessclock.google,Milahn Atchison,great app chess players love,5
giulio.di.maria.chessclock.google,jv2080 “jv2080”,dont like different sounds makes player presses turn wish uniform sound need error sound press turn,3
giulio.di.maria.chessclock.google,Soumyadip Paul,finally search ended free clock possible features best market,5
