Package name,Reviewer name,Review,Rating
manastone.game.wcc.Google,Arthur Gonzales,cool game,5.0
manastone.game.wcc.Google,Jay Bee,good interface actually best found stars play free time lapse reload pay play winner doesnt get award achievement fun play smart,5.0
manastone.game.wcc.Google,"Giducos, Ernesto T.",learned everyone playing chess especially countries,5.0
manastone.game.wcc.Google,Sam Tshabalala,cool ive playing game five years still enjoying sheeeeeeesh recently ads taken toll come every game doesnt go even u want u may try much u linger time expires gets jammed five seconds timing gets one minute long jam doesnt go also ads free app buy remove ouch fun,4.0
manastone.game.wcc.Google,Usama Rehman,best experience,5.0
manastone.game.wcc.Google,It's Miracle,worst graphic,1.0
manastone.game.wcc.Google,Robert Owen,great competition great game,5.0
manastone.game.wcc.Google,Tanya Williams,makes understand things life moves diferent,5.0
manastone.game.wcc.Google,Zachary Nelson,sometimes says still counts loss wish would get fixed really good way stay sharp game,3.0
manastone.game.wcc.Google,Fatima Fatima madni,loved,5.0
manastone.game.wcc.Google,Harold King,super,5.0
manastone.game.wcc.Google,Quincy Nelson,valuable tool improve chess skillsyou get experience playing,5.0
manastone.game.wcc.Google,Paul adonis Bulay,fungame educational,5.0
manastone.game.wcc.Google,Sydney Kamwandi,good,3.0
manastone.game.wcc.Google,kavitha m,good game memory power changing studies,5.0
manastone.game.wcc.Google,pavan kalyan,good,2.0
manastone.game.wcc.Google,Subir Halder,nice game,5.0
manastone.game.wcc.Google,Levienyl Reyes,waste time downloading,1.0
manastone.game.wcc.Google,GameDroid24,wanna sale whole app servers wanna buy please reply,5.0
manastone.game.wcc.Google,Antonio Wright,best app,5.0
manastone.game.wcc.Google,Vikash,best chess game chess games cant match,5.0
manastone.game.wcc.Google,Emmanuel Zimba,nice sometimes challenging pinpointing certain areas,1.0
manastone.game.wcc.Google,Dean Kiger,love game playing scence seven years old im fortythree im super competitive love fact get play people world good players everywhere playing game months end never gets old always fun exciting playing people world super cool thank,5.0
manastone.game.wcc.Google,Kiran Zinjade,great gaming app,5.0
manastone.game.wcc.Google,Ava Holden,amazing game wish u could play someone u know well like person u wanted play could create server would code u would put code u would able play,5.0
manastone.game.wcc.Google,Mohd Tousif,great gaming app,5.0
manastone.game.wcc.Google,Ahmed Alatar 86,excellent,5.0
manastone.game.wcc.Google,Michellene Ross,ever ive played always problem,1.0
manastone.game.wcc.Google,Yuvraj Kote,excellent,5.0
manastone.game.wcc.Google,Guna 4u,hate wait minutes next move automatically decide opponent wins,1.0
manastone.game.wcc.Google,Rene Ortega,nice game,5.0
manastone.game.wcc.Google,MD EYASIN ARAFAT,good heavy service,5.0
manastone.game.wcc.Google,Ganja Kalyan,supper game,5.0
manastone.game.wcc.Google,Quuncy Nelson,games great,5.0
manastone.game.wcc.Google,Joe Cantu,enjoy playing others around world,5.0
manastone.game.wcc.Google,SALMAN JAVED,favorite game played whole whole stage,5.0
manastone.game.wcc.Google,Olaniyi Olamilekan,excellent,5.0
manastone.game.wcc.Google,Ali Al-Najaar,ok,5.0
manastone.game.wcc.Google,Caroline Leung,best online chess thank,5.0
manastone.game.wcc.Google,Mr Saber M.M,one best game,4.0
manastone.game.wcc.Google,Jangmin,like game good,3.0
manastone.game.wcc.Google,Thinh Pham,ai dui complexibility forceited online deballionationalistism method completion rates ratio one thousand ninety revolution chance beating developer outcome halves chess boarded century total precise core complex matrix system advanced along knitted integral diversity completed systemathmathimathic systemitric system perfection titled norten physic initialisationed zeromesstarteddirivednotation tenth ended,5.0
manastone.game.wcc.Google,Benyto Kamelow,este juego ta kon mathres la verda ke nunka juegas kon una komputadora siempre juegas kon ana persona real ke se enkuentran en diferentes paises del mundo saludo2 desde mejikow kabrones,5.0
manastone.game.wcc.Google,Ray Wiba,lol game,1.0
manastone.game.wcc.Google,Ned St Fleur,loose signal,5.0
manastone.game.wcc.Google,umar shareef,good game,5.0
manastone.game.wcc.Google,Mark Anthony,nice chess app,5.0
manastone.game.wcc.Google,Chyke Collinz,9ice,4.0
manastone.game.wcc.Google,Anantha Ramaiah Devabathini,excellent,5.0
manastone.game.wcc.Google,Keynes Zivanai,good game l would like give four star rate next updates l give five stars,5.0
manastone.game.wcc.Google,Gala Vahn,great play please work chess styles play wth,5.0
manastone.game.wcc.Google,Dwight Homer,good game,5.0
manastone.game.wcc.Google,Soumen Bala,good,5.0
manastone.game.wcc.Google,Muhammad Shakil,rotation problem,1.0
manastone.game.wcc.Google,tahoe5284,uninstalled four years ago requested simple video alert fifteen seconds time running cant stand sound clock distracting tired losing time,2.0
manastone.game.wcc.Google,Ram Govind,good,5.0
manastone.game.wcc.Google,Oscar Ramirez,zedleppelin,5.0
manastone.game.wcc.Google,Arjun Arjun,nise,5.0
manastone.game.wcc.Google,Rashida B,please give option report cheaters even hear genuine playes tired cheaters,1.0
manastone.game.wcc.Google,Sipho Alwande Mnyandu,amazing,5.0
manastone.game.wcc.Google,Scott Griggs,always encounter challenging opponentssad say sub par overallhats indiafor good,5.0
manastone.game.wcc.Google,Aurelio Garcia,perfect,5.0
manastone.game.wcc.Google,Justine Quitay,wonderful,5.0
manastone.game.wcc.Google,Vincent McCray,crazy cool chess gamei play every daybe ready play game yall,5.0
manastone.game.wcc.Google,hing John,settings games good dont choice betting wish betting system created one best chess game,1.0
manastone.game.wcc.Google,Frank Payan,challenging others countriespretty cool,5.0
manastone.game.wcc.Google,RANA RANA,im level nine defeated lose 8or nine points win ii get 5or six points thats cant go upper level disgusting,1.0
manastone.game.wcc.Google,Skhumbuzo Ryno,cool,5.0
manastone.game.wcc.Google,Eric Martin,competitve,5.0
manastone.game.wcc.Google,Md Shaharia Sagor,nice,5.0
manastone.game.wcc.Google,Nt Kp,ok gob download g lets play,4.0
manastone.game.wcc.Google,Rodney Lesego,game seems mo st enjoyable even didnt play,5.0
manastone.game.wcc.Google,umesh yadav,good game,5.0
manastone.game.wcc.Google,katlyn atkinson,good,4.0
manastone.game.wcc.Google,Edsel Caliva,exciting game,5.0
manastone.game.wcc.Google,Jomrel Noynay,good graphics great,5.0
manastone.game.wcc.Google,I'm So high,best online chess game yet tho always room improvement dont usually reviews worth rav,4.0
manastone.game.wcc.Google,Ganesh Sagar,using app two thousand sixteen five th devicebut app every phoneloved one,5.0
manastone.game.wcc.Google,Prabakaran J,rrrrrrrrrrrrrrrrrrrrrrrrrjjdjsjsjsjjdjdjdjejejjehehehdhdhrhdhdhjdjdjdjdjjhhjjjjjjjjjjjjjjjgf kxkjdjsbshsgsgsghsbsbshehehshhshshdbdhdhdhdhdhdhshshhddhhdbddhhdhdhdhdhdhshshshshdhdhdhhdhdhdhdhdhehehdhdhdhdhdhhehdhdhdhhdhdhdhdhdhdhhdhdhdhdhdhdhdhdhdhdhhdhdhdhdjdhdhhdjdhdhdhdhhddhhdhdhdhdhdhhdhhdhdhhdhdhdhdhhdhdhhdhdjjdjjejjejejejejwjwjwjjwjwjwjwjwjwjwjwjjwjwjwjssjjdjdjsjsjsjsjjssjjsjsjsjsjsjjsjsjsjsjsjsjjsjsjsjsjsjsjsjjsksksjsjjsjsjsjsjsjsjjsjsjsjjsjsjsjsjdjdjdjejejejhdhdhdhdhshhrrrrrrrrrdddddddddrr,5.0
manastone.game.wcc.Google,Shashi Kiran,best cheaters game,1.0
manastone.game.wcc.Google,Dennis Roudolf,best online chess game everi recommend chess game lover download experience great gamethank making good chess game,5.0
manastone.game.wcc.Google,Tip,wont connect server love chess man server thing sucks,1.0
manastone.game.wcc.Google,SIJO Vj,best,4.0
manastone.game.wcc.Google,Michael Darlyng,cheas,5.0
manastone.game.wcc.Google,Nahid Rahman,good much bad fake wolrd championship game,1.0
manastone.game.wcc.Google,Raj Singh,best game real playeryes board graphics also nice thanks admin,5.0
manastone.game.wcc.Google,Dean Kiger,love game playing science seven graphics sweet love fact get play people world playing game six first place trophy game still fun challenging really like fact get play great players world awesome,5.0
manastone.game.wcc.Google,Pechiappan S,good,5.0
manastone.game.wcc.Google,arun kumar verabadhran,game cheeting game bad,1.0
manastone.game.wcc.Google,Jeffery Martin,,4.0
manastone.game.wcc.Google,Gift Mabotsa,mind growing stress relief expectation way higher think love imagine,5.0
manastone.game.wcc.Google,Dom Jenkins,dont play people based relative skill level constantly loose ranking system means absolutely nothing randomly play people iv faced guys told masters ranking system joke constantly face best unbeatable people platform loose,1.0
manastone.game.wcc.Google,Pranesh S,best gamechess board option less,4.0
manastone.game.wcc.Google,Panchuri Krishan Kumar,played enjoyed opponents nations,5.0
manastone.game.wcc.Google,Shree Chess,fraud fraud fraud,1.0
manastone.game.wcc.Google,Abhishek Mathews,good app,4.0
manastone.game.wcc.Google,REAL BANGLA,nice game,5.0
manastone.game.wcc.Google,UnknownSpazzoTR -,send invites freinds,5.0
manastone.game.wcc.Google,daniel carter,best chess game ever,4.0
manastone.game.wcc.Google,Mike Mitchel,doesnt work anymore appears run course,1.0
manastone.game.wcc.Google,Ss khan,nice,5.0
manastone.game.wcc.Google,ZAJEB ŻYDA,good game better could talk waiting four stars play three games annoying,3.0
manastone.game.wcc.Google,Amr Nasr,needs better update,1.0
manastone.game.wcc.Google,Leslie Jefferson,good,3.0
manastone.game.wcc.Google,RNK ARYAN,best app playing chess online,5.0
manastone.game.wcc.Google,Julius Macalindong,great,5.0
manastone.game.wcc.Google,Allen White,reset,5.0
manastone.game.wcc.Google,Nelson Calvo,champion noticed current champion plays black pieces noticed grand master master staged games friend reviewed games seven moves scholars mate playing player games row really championship cheating players forced play colors avoid playing white banned game fair players,1.0
manastone.game.wcc.Google,Syrus Neal,luv game,5.0
manastone.game.wcc.Google,God's Chosen,best online chess app thus far,5.0
manastone.game.wcc.Google,J Lyman,good game,5.0
manastone.game.wcc.Google,Atchyut Lotlikar,good,4.0
manastone.game.wcc.Google,Shashi Kumar,intresting,5.0
manastone.game.wcc.Google,Virgiliojr Santos,winner,5.0
manastone.game.wcc.Google,Clyde Teriote,nice app,4.0
manastone.game.wcc.Google,The Executioner,five minutes time control heck,1.0
manastone.game.wcc.Google,Alpha Diego,challenging,5.0
manastone.game.wcc.Google,ADARSH KUMAR,superb game,5.0
manastone.game.wcc.Google,Sudesh Rao,ten 1o,5.0
manastone.game.wcc.Google,Syaifil Edli,world,5.0
manastone.game.wcc.Google,Anuwar Salim,,5.0
manastone.game.wcc.Google,Elizah Jones,nice app bugs,5.0
manastone.game.wcc.Google,Webster Matsanura,good chess game communicate opponent whilst playing thats cool,3.0
manastone.game.wcc.Google,Mayur Dixit,amazing game add real time features,5.0
manastone.game.wcc.Google,SHANA FATHIMA,excellent,5.0
manastone.game.wcc.Google,Ganga Rimal,okk,1.0
manastone.game.wcc.Google,Herb Mahoney,gg favorite game play,5.0
manastone.game.wcc.Google,Abida Parveen,cant download,1.0
manastone.game.wcc.Google,nekk minnit,seems good many ads,5.0
manastone.game.wcc.Google,James Dean,im playing android a11 lags horribly,3.0
manastone.game.wcc.Google,jeydil Li,excellent,5.0
manastone.game.wcc.Google,Christopher Zupky,im playing moron loses queen stops clock counting app many cheaters,1.0
manastone.game.wcc.Google,Ken Enzo,everything good far exept opponent,4.0
manastone.game.wcc.Google,Irvin LaFere,great,5.0
manastone.game.wcc.Google,MAMUN HASAN,niece game,5.0
manastone.game.wcc.Google,Alvin Hizon,choice,5.0
manastone.game.wcc.Google,Talal Ali,good game,5.0
manastone.game.wcc.Google,Steven Kibler,haello,5.0
manastone.game.wcc.Google,Donovan van Schalkwyk,great game thanks guys,5.0
manastone.game.wcc.Google,Bobby Garcia,manastone simply totally trash one star cost print words lol thats roaches eat bowls dicks basically roaches eat anything available,1.0
manastone.game.wcc.Google,Shay Reno,dont bother,1.0
manastone.game.wcc.Google,M ARUN,friends online mode play please make online friends chess play tq,1.0
manastone.game.wcc.Google,Ridwan Olagoke,love game much gives chance play people around world far able improve chess skills,5.0
manastone.game.wcc.Google,Patlolla Shashank,soo interesting hard,5.0
manastone.game.wcc.Google,Jagdish Ashar,nice one play nice platform,4.0
manastone.game.wcc.Google,Warren Jourdain,great,4.0
manastone.game.wcc.Google,Willie,skillful gamei like,5.0
manastone.game.wcc.Google,Joe Trai,awesome app play everyday,5.0
manastone.game.wcc.Google,Edgardo Rodriguez,play game keep brain sharp,5.0
manastone.game.wcc.Google,Jose Marie Rodriguez Basmayor,chess player fifty yrs app idiike playi meet players world real strength enjoyablei want make suggestion players registered game required registration fee get encentivefor performfor nice nice recieved cash award real combat,5.0
manastone.game.wcc.Google,Adnier El Rastrero,best game ever capablanca,5.0
manastone.game.wcc.Google,Stacey Mitchell,good game point system sucks may concern people app hack app using fake accounts advance rankings prime example inna hes first place one thousand fifteen winning games straight using seven moves game jus take time look accounts eliminate cheating scumbags,3.0
manastone.game.wcc.Google,DEEGHOD SHORT EDUCATION,ok,5.0
manastone.game.wcc.Google,rey fabularcon,injoy lot violations coarse theris martheroues,5.0
manastone.game.wcc.Google,Rajesh Subash,new bug championship count updating correctly ten championships shows nine dashboard win loss counts updating correctly every match,2.0
manastone.game.wcc.Google,Aarav Raj,love game,3.0
manastone.game.wcc.Google,Kebaabetswe Letau,phenomenal,5.0
manastone.game.wcc.Google,yoginsidesh,nice game new players,5.0
manastone.game.wcc.Google,Conway Bear,love,5.0
manastone.game.wcc.Google,Sanerivi Iaulualo,good like much,4.0
manastone.game.wcc.Google,Asraful Islam,good,5.0
manastone.game.wcc.Google,mostafa zizo,nice world chess,5.0
manastone.game.wcc.Google,Raja Babu,best 3d chess,5.0
manastone.game.wcc.Google,dayang ranita,play unofficial game friend cant find menu play unofficial game friend,3.0
manastone.game.wcc.Google,Mehedi Hasan,good enjoyable apps chating intaresting devolved chating,4.0
manastone.game.wcc.Google,Trizo Buryboy,fix glitches time clock expired game,1.0
manastone.game.wcc.Google,manjinder brar,top two rows twelve covered ads u play,1.0
manastone.game.wcc.Google,Nirmal Ashan,good game,5.0
manastone.game.wcc.Google,Minecraft Edition,top three people,1.0
manastone.game.wcc.Google,Akshay Dubey,good play proffesinol level player,3.0
manastone.game.wcc.Google,Ahmed Salau,enjoyable,5.0
manastone.game.wcc.Google,Master King,yiko,3.0
manastone.game.wcc.Google,Power Project,great game,5.0
manastone.game.wcc.Google,Mohanad Jabayia,always disconnect network lose game,1.0
manastone.game.wcc.Google,Larry Taylor,app cuts also app uses computer simulation play supposed two person games cheating,3.0
manastone.game.wcc.Google,Jody Cobos,fun play,5.0
manastone.game.wcc.Google,Innocent,matches interrupted network canceledit really sucks youre leading lose connection failure yall better fix,2.0
manastone.game.wcc.Google,Arnel Delos Reyes,good,5.0
manastone.game.wcc.Google,steven guerrera,finally got fixed app years awesome,5.0
manastone.game.wcc.Google,Abdur Shabazz,great game,3.0
manastone.game.wcc.Google,nag bhushan,super,5.0
manastone.game.wcc.Google,Rohit Chavan,ooooh welcome live world chess im nice beautiful use,4.0
manastone.game.wcc.Google,Edzer X.,keep crashing time,1.0
manastone.game.wcc.Google,Jerwin Mortera,chalenge,5.0
manastone.game.wcc.Google,Garcia Winner,good,5.0
manastone.game.wcc.Google,RickJames Bih,im rick james endorse message,5.0
