Package name,Reviewer name,Review,Rating
pl.lukok.chess,satyaveeru guda,,4
pl.lukok.chess,Vikas Jatothu,good,5
pl.lukok.chess,Tripoli Tek,love app perfect,5
pl.lukok.chess,satosh reddy,good,4
pl.lukok.chess,mimoni gangkak,worst app play two games time watch ad power blizt continue game,1
pl.lukok.chess,Connor Watson,good game little confused ai make movies cant free,2
pl.lukok.chess,mahi,nice,5
pl.lukok.chess,Chayan Suthar,amazing,5
pl.lukok.chess,Dedeepya Eluri,jashi like chess didnt learn play like chess good game ads,5
pl.lukok.chess,James Hastings-Spaine,brain food,5
pl.lukok.chess,Hasan Dervis,wish multiplayer option two people play together phone,4
pl.lukok.chess,LASISI ADIRU,nice,5
pl.lukok.chess,Haradhan Nar,happy,5
pl.lukok.chess,Araitha Brahma,love,4
pl.lukok.chess,umesh ghongate,good,5
pl.lukok.chess,Sagar Mureliya,full,5
pl.lukok.chess,Deepak Deepak kumar,nice game,3
pl.lukok.chess,Sampad Samanta,nice,5
pl.lukok.chess,tonu Rana,fch,5
pl.lukok.chess,Fernandez Adhrian,two games per open yall dumb,1
pl.lukok.chess,Minh Châu Dương Đỗ,like crashing play choose app,1
pl.lukok.chess,Stefan,good app thank u,5
pl.lukok.chess,Nitin Sharma,good,5
pl.lukok.chess,Lawrence Smit,using app everything good nowadays looses connection regularly games resign get uninstalled,1
pl.lukok.chess,sanuka Lonija,nice,5
pl.lukok.chess,Gopal maity,nice,5
pl.lukok.chess,Badshah Khan,eight hundred sixtynine thousand one hundred eightyseven five thousand five hundred seventysix,4
pl.lukok.chess,shriom bharati,best,5
pl.lukok.chess,Hridoy Roy,great,5
pl.lukok.chess,HEMAA HARRINI,awesome,5
pl.lukok.chess,Dabhi Rajesh,good,4
pl.lukok.chess,royal 143,super game,5
pl.lukok.chess,mr Reegan,nice,5
pl.lukok.chess,Akhil Balakrishnan,nice super game,5
pl.lukok.chess,Pravin Kadam,nice,5
pl.lukok.chess,Yogesh Sagar,good,2
pl.lukok.chess,Abhay Tiwari,abhay kumar tiwari,5
pl.lukok.chess,Firoj Ansari,nice,5
pl.lukok.chess,Darshan Raj purohit,like better game ludo free fire,5
pl.lukok.chess,Lakkappa Kadapatti,good,5
pl.lukok.chess,Rebin S J,love,5
pl.lukok.chess,Mohammed Sofiyan,nice game,5
pl.lukok.chess,Deepak Kumar,good,5
pl.lukok.chess,Udaya Nath Parhi,interesting game,5
pl.lukok.chess,Abhitesh pawar,dream game,5
pl.lukok.chess,Trent Lewis,cant play friends online anymore deleted app shame since playing family across county almost two years,1
pl.lukok.chess,muttanna hadpad,good feature,1
pl.lukok.chess,Smith Brown,lots ads,2
pl.lukok.chess,H F Zaidi,love help lot leave chess app amazing make day amazing today upset reason app makes day incredibly amazing,5
pl.lukok.chess,Ranjith Fltz,koi,3
pl.lukok.chess,Afaq Alam,good,5
pl.lukok.chess,Ram roop Singh,helpful app learning revising chess,5
pl.lukok.chess,NAVEEN VIKKURTHI,excellent,5
pl.lukok.chess,Emeka Awa,looking nice enjoyable alone timesif could follow trend incorporate feature real money earned players,5
pl.lukok.chess,Hardika and kartik show,bestttttttttt,5
pl.lukok.chess,Habib Shaikh,good,3
pl.lukok.chess,Uttam Acharjee,love chess,5
pl.lukok.chess,Samrat cricket club kanad,awesome,4
pl.lukok.chess,Navneet Gupta,op,5
pl.lukok.chess,Azizul Haque,wonderful,5
pl.lukok.chess,Boya LOKESH,super,1
pl.lukok.chess,Prakash Dhami,good,5
pl.lukok.chess,Jed Khan,one word noice,4
pl.lukok.chess,JayJay Jack,keep reconected even signal good condition,1
pl.lukok.chess,Jacoby Crane,okay downloaded said play friends cant see option play friend either lied well hidden keep missing,3
pl.lukok.chess,Rakesh RAja,nice,5
pl.lukok.chess,Raffy Mohammed,,5
pl.lukok.chess,Sibarama Pradhan,exelent,4
pl.lukok.chess,Md Arman,good,5
pl.lukok.chess,shruti Patil,nice,5
pl.lukok.chess,Sudarshan kumar,mind blowing game mind freshor,5
pl.lukok.chess,Santosh Kumar kushwaha,nice game,5
pl.lukok.chess,Ankit raj Indian solder,good,5
pl.lukok.chess,naveen kumar,game getting stucked play,1
pl.lukok.chess,Prince Singh,ok,5
pl.lukok.chess,Gyasuddin Ansari,best game,5
pl.lukok.chess,RFM Mangalore,waste game,1
pl.lukok.chess,Sorng Vanny,,5
pl.lukok.chess,Nikhil Kumar,nyc,5
pl.lukok.chess,fauji ali,awesome,5
pl.lukok.chess,Gagan H P Gagan,super,5
pl.lukok.chess,jamie thompson,great game love,5
pl.lukok.chess,Mark Moyer,clash anything wonderful,5
pl.lukok.chess,Anahdeep Singh,like chess agme pay board many chess games may cost money play real player ai pick level im new chess means bad three hours later im good chess app store probably ones computer laptops mobile one couldnt imaginge better chess game,5
pl.lukok.chess,Siddharth Gupta,mad game online mode play random player enough time left opponent team dont enough timer time run say disconnected suddenly timer set ten sec lost mad recommend dont download game wise developer something,1
pl.lukok.chess,Efren Timosan,stupid game online mode energy enoughit need watch advertisement boring,1
pl.lukok.chess,Fahim Uddin,marvellous,5
pl.lukok.chess,rahim shaikh,good,1
pl.lukok.chess,Rahul sanwria,good,3
pl.lukok.chess,Anil Kumar,makes good chess,5
pl.lukok.chess,محمد راهول علي,great game,5
pl.lukok.chess,James Bancroft,server sucks disconnects every game pointless keep playing youre making crazy addbrevenue,1
pl.lukok.chess,Krishna Yadav,bad,1
pl.lukok.chess,Eusebio Muñez,disconnection always,1
pl.lukok.chess,Gaurav Rajput,nil,3
pl.lukok.chess,sharath Kasagoni,good,5
pl.lukok.chess,Abdulla Faraj,matchmaking bad first ten games played seven players one hundred wins one two thousand wins,1
pl.lukok.chess,pipit diah,rono,5
pl.lukok.chess,Alejandro Porras,great app,5
pl.lukok.chess,lakshmi dhanekula,supar,5
pl.lukok.chess,Mohit Damor,itss wonderfullllll,5
pl.lukok.chess,Ritesh Kumar,much ad,3
pl.lukok.chess,Harshal Kadu,best chess gema,5
pl.lukok.chess,Pukar Chhetri,worst chess game app,1
pl.lukok.chess,Pankaj Rodiwal,ok,1
pl.lukok.chess,Gagandeep “Gagan” Dhuriya,nice,5
pl.lukok.chess,D V RAMANA Bavirisetti,good,5
pl.lukok.chess,Vasantarao Deshmukh,love chess,5
pl.lukok.chess,Ahem,worst experience ever timer doesnt reset move eventually reaches limit game u lose,1
pl.lukok.chess,Kishor Luhar,mast,4
pl.lukok.chess,Augustine Mugambi,good,4
pl.lukok.chess,Canuta Alexandru Marius,nanny adds,3
pl.lukok.chess,Anesu Fxgoat,good,5
pl.lukok.chess,Hansraj Vaishnav,bad bad dont instaal wrost app twenty thousand,1
pl.lukok.chess,Markus,top g,5
pl.lukok.chess,A_Ghani_956,bad,4
pl.lukok.chess,Jose Carrillo,great,5
pl.lukok.chess,Heba Sanabrah,hate bots,5
pl.lukok.chess,savita narsu,best,5
pl.lukok.chess,Nitish Kumar,awesome,5
pl.lukok.chess,rachit Kalal,nice,2
pl.lukok.chess,Devendra Saini,nice,5
pl.lukok.chess,Ali Sher,pretty awesome app,3
pl.lukok.chess,Dhinesh Vvl,game realy good,5
pl.lukok.chess,Tarlochan singh Semplay,first time play game interesting,1
pl.lukok.chess,Asma Zeeshan10june,favorite game please try game one time,5
pl.lukok.chess,Vritul Goyal,hang ho jata hai,1
pl.lukok.chess,AgentL gaming,kinda fun glitches far,3
pl.lukok.chess,Pragnyaban Sahoo,practical,5
pl.lukok.chess,Po Naung Naung,ok,4
pl.lukok.chess,Berkat Ali,best,5
pl.lukok.chess,Sourabh Sharma,superb,4
pl.lukok.chess,Mokariya Ashok,add disturb,1
pl.lukok.chess,hale jonathan,bad kept moving back even attack,1
pl.lukok.chess,Nandi service Zone,good,4
pl.lukok.chess,Javed Hossain Sarkar,good,4
pl.lukok.chess,Baraiya Anand,nice game,1
pl.lukok.chess,Bishal Khatri,good,5
pl.lukok.chess,Priya s Priya,nice,5
pl.lukok.chess,Rashidat Raji,fun ppl play game,5
pl.lukok.chess,Rautrai Natekar,game getting boar adds,2
pl.lukok.chess,Madhavi Rapolu,game interesting,4
pl.lukok.chess,Jashu gaming,sapaku nipandu gupabe,5
pl.lukok.chess,Dinesh Sandy2000,nice,4
pl.lukok.chess,Devesh gamer and vines,bhaga hai ise koi bhi mat download karna,5
pl.lukok.chess,Taylor Felts,level thirteen great four doesnt work right,2
pl.lukok.chess,Victor Frankenstein,youll get bothered ads every second really annoying,1
pl.lukok.chess,Sohan Pal singh,hobby r cess game febret game,5
pl.lukok.chess,DJ BABLU MH 09,nice,3
pl.lukok.chess,Pavan Krishna Gangadhar,nice,5
pl.lukok.chess,Asad Sultan,op,5
pl.lukok.chess,sushi sushi,sheeesh,5
pl.lukok.chess,Naveen Balhara,bunch chutis deducts two hundred loose giving wins ldu game,1
pl.lukok.chess,Aaron Burrows,good enough,5
pl.lukok.chess,sushovan banerjee,helpful learn,5
pl.lukok.chess,Aryan Vatare 56,nice fanstastic,5
pl.lukok.chess,Vladimir Chegodaev,usefull beginners,4
pl.lukok.chess,Rudradev Kumar,nice game,5
pl.lukok.chess,harry harry,fantastic,5
pl.lukok.chess,Anmol Sardar,best game,4
pl.lukok.chess,Shriram Gore,bad game much ads disconections,1
pl.lukok.chess,Afrah khan,great app,5
pl.lukok.chess,Nevin Randiw,,5
pl.lukok.chess,Eddie Kimble,far good,4
pl.lukok.chess,ABHAY RAJ,internet connection issue makes application worst use,1
pl.lukok.chess,Tommy drumbeater,like game well done,5
pl.lukok.chess,Jara Akram,game cheater game computer player always opportunity player side,1
pl.lukok.chess,Amitesh Singh,like play chess would like play chess competitions win prize moneys,5
pl.lukok.chess,ashish kumar,good,5
pl.lukok.chess,Bryan Uche,bugs app damn much stop releasing unnecessary updates issues mad person would thank,1
pl.lukok.chess,Jake Lang,games good aside fact theres add everything retart match ad finish match go next challenge ad amd dont get snyone outta adds,1
pl.lukok.chess,Vivek Shinde,worst appcan play two matches watch many addsthere better apps,1
pl.lukok.chess,Florencio Alayon,best,5
pl.lukok.chess,Chalumuri Yernaidu,waste time,1
pl.lukok.chess,Rawkes Gurung,great game,5
pl.lukok.chess,Omar Ghallab,joing us wanna spent day watching ads,1
pl.lukok.chess,_Ravi _Kr. Mahto _D 17,chess begginer app mindblowing,5
pl.lukok.chess,Prabhu Meshram,verry cool get good experience play game,1
pl.lukok.chess,Vineet Kumar,nice,5
pl.lukok.chess,V Harish,best,4
pl.lukok.chess,Deepta Jayakumar,cool,5
pl.lukok.chess,Jidu Singh,cool,5
pl.lukok.chess,ArtistFarazz,poor graphics designing,1
pl.lukok.chess,Sriharsa priyabrata Dash,good,5
pl.lukok.chess,A.S achare Achare,nice,5
pl.lukok.chess,Sharon A.,good first time chess,5
pl.lukok.chess,Rajesh R,exelent,1
pl.lukok.chess,Pawan Kumar,good mind practice avoid social media dangerous,3
pl.lukok.chess,Pradeep Kalita,,5
pl.lukok.chess,Pawan Verma,best,5
pl.lukok.chess,Ruchi Singh,good,5
pl.lukok.chess,Raju Singh,nice,1
pl.lukok.chess,Isaac Sunday,becoming worst chess game ever playing win opponents time counting eighteen secs game suddenly ended said ran time possible time time opponents turn play waiting annoying ill uninstall,1
pl.lukok.chess,Govind Shende,good data connection still game connectivity error occurs midway game serious game play people hate things worst chess app ever also advertisements also distracted,1
pl.lukok.chess,Anshu singh Rajput,love,1
pl.lukok.chess,Sumanth Bandaru,worst app loose every game,1
pl.lukok.chess,Jijai Video Vision and photograpye,game dont like,3
pl.lukok.chess,Sumit Lodekar,great,5
pl.lukok.chess,lamara daxundaridze,goood game,5
pl.lukok.chess,Timothy Ridley,challenging trustworthy,5
pl.lukok.chess,Christopher Boisclair,love,5
pl.lukok.chess,Jeffrey Palmer,awesome,4
pl.lukok.chess,Sundal Jain,many issues firstly match making worst one thousand elo getting matched two thousand four hundred elo rating obviously one thousand going loose higher level people cheating much theres way report either im sure game much higher rating maybe cheaters come play game mean seriously highest rated player four thousand rated,1
pl.lukok.chess,Mr Saber M.M,l love game,4
pl.lukok.chess,Thasleem P,hi one levelpawn showing game play two hundred coins next levels showing,3
pl.lukok.chess,Akheel Hyder,lose twice longer play,2
pl.lukok.chess,Vibhanshu Gaur,multiplayer booooooo,2
pl.lukok.chess,Sreepoornathrayeesan Vishnumaya,sooperb sooperb bahuth achcha,5
pl.lukok.chess,Aalok Pradhan,good,3
pl.lukok.chess,3liteEm3rald,fun good puzzles learning,4
pl.lukok.chess,Dhananjay Sonawane,nice one game,5
pl.lukok.chess,md arifDELL2013,super,1
pl.lukok.chess,Madhesh Madhesh,nice,5
pl.lukok.chess,The Shawn Rain,timing bad im gonna remove application,1
pl.lukok.chess,Parvinder Singh,asshle app worth downloading zero playing experience waste time download,1
pl.lukok.chess,Md Suraj Mir,amazing,5
pl.lukok.chess,unique guy,excellent,5
