Package Name,App Name,Google Play Page,App Description
com.chess.clock,Chess Clock,https://play.google.com/store/apps/details?id=com.chess.clock&hl=en&gl=US,"Replace your chess clock with this free game timer! It's easy to use, yet fully featured to handle any time control. 100% free: no in-app purchases, no ads!
 
 Choose your time control and you're ready to play. The 2nd player presses her button to start the 1st player's clock - and the game is on!
 
 FEATURES
 - Large, easy-to-read buttons
 - Works in landscape and portrait on all devices
 - Quickly customize the app for one-tap access to all your favorite time controls
 - Time controls include base minutes per player and optional per-move delays or bonus time. The app supports both Fischer and Bronstein increments, as well as simple delays. The duration is up to you!
 - Supports multiple-stage time controls commonly seen in tournaments, such as ""40 moves in 2 hours + game in 60 minutes."" A glance at the clock shows your current stage!
 - Clock pauses automatically if the app is interrupted; manually pause the clock at any time
 - Pleasant sounds for buttons and ""time's up"" alert
 
 At Chess.com, we really do love chess, and *sometimes* we even play it offline! For times like that, we created this clock - and we hope you love it as much as we do."
giulio.di.maria.chessclock.google,Chess Clock,https://play.google.com/store/apps/details?id=giulio.di.maria.chessclock.google,"A useful app to replace your chess clock and always carry it with you on your device!
 
 ⭐ Easy to use
 ⭐ Foolproof timer
 ⭐ Available in more than 10 languages
 ⭐Designed to make you manage your playing time in a simple and intuitive way
 
 This app is 100% free (no ads, no purchases)!
 
 ♟️ FEATURES ♟️
 
 ◉ Large, easy-to-read buttons
 ◉ Works horizontally and vertically on all devices
 ◉ List of predefined timers
 ◉ Simple and intuitive graphics to add new time controls or manage those already created.
 ◉ Players can have different times and increments to provide a handicap and create a more balanced game!
 ◉ Fischer, Bronstein, or simple delays' increments with customizable duration
 ◉ Supports up to three-stage clocks in FIDE mode
 ◉ Time per move mode
 ◉ Realistic sounds
 ◉ Error sound can be disabled
 ◉ Different sounds for each player
 ◉ The clock stops automatically if the app is stopped or if there is navigation to settings. You can also manually pause the watch at any time.
 ◉ Check and checkmate buttons can be added
 ◉ Settings page to customize the clock
 
 ⚒ Future Improvements ⚒
 
 ◉ New settings with dedicated screens for UI and sound customization
 ◉ Other features such as hourglass mode
 
 In case you would like to report any other issues or improvements, feel free to get in touch with the email indicated in the developer information!
 
 Thank you! ✌️"
com.agadmator.chessclock,Agadmator Chess Clock,https://play.google.com/store/apps/details?id=com.agadmator.chessclock,"Agadmator Chess Clock is a beautiful, lightweight chess clock app. It enables you to play with your own custom time controls or to pick from one of the presets. It comes with a clean and intuitive UI."
com.vanniktech.chessclock,Blitz Chess Clock,https://play.google.com/store/apps/details?id=com.vanniktech.chessclock,"This Chess Clock allows you to easily play chess games.
 
 The Chess Timer supports the following modes:
 
 - Bullet Chess
 - Blitz Chess
 - Rapid Chess
 - Fischer Modus
 
 You can add your own time modes. The Chess Clock can handle different times per player.
 
 Additionally, the Chess Clock offers a way to customize the Chess Timer by using a custom chess watch theme. By default Chess Clock has a white and a dark theme.
 
 Playing a chess game with time has never been easier. The Chess Clock / Chess Timer can be used for playing other games such as Go."
com.Hefestus.ChessClock.Free,Real Chess Clock,https://play.google.com/store/apps/details?id=com.Hefestus.ChessClock.Free,"This is the best App for android in its kind because it offers three different appearances based on your preferences: original chess clock, analog and digital.
 
 Use it in your games, with this app you can limit the time spent in each player’s move, count the total amount of moves and display the player’s name.
 
 You can find different time modes to play with this app, such as select between Fischer, Bronstein and Simple delay, Sudden Death, Byo-yomi, Canadian and Scrabble with an option to show the penalty after the time ends.
 
 You will find configurable vibration and sounds effects for the clock timer, ticking, click, end of game and end of delays.
 
 And the best is that you can download this application for free in this app store.
 
 This is a customizable application that you can download for FREE in this app store.
 
 Highlights:
 
 • Three different clock types: Simple, Analog and Digital.
 • Many time modes: Sudden Death, Scrabble, Simple Delay, Fischer, Bronstein, Canadian and Byo-yomi 秒読み.
 • Configurable sound effects and vibration.
 • Intuitive and easy to use menus.
 • Display names and move count.
 • Optimized for Xperia Play, press the L, R buttons to play."
com.kokajin.applications.chessclock,Chess Clock - Game Timer & Sta,https://play.google.com/store/apps/details?id=com.kokajin.applications.chessclock,"Time your games the way you like by selecting any time control from long friendly games to intense tournament mode.
 
 3 modes are available:
 - Classic
 - Hourglass
 - FIDE (Multi-stage)
 The FIDE mode turns your Android device into a tournament clock.
 
 You can also select between 3 types of delay and increment:
 - Simple delay
 - Bronstein delay
 - Fisher increment
 Set this to 00:00 for a no increment clock.
 
 Configure up to 12 clock presets.
 
 Check out your stats after the game:
 - time usage
 - average time per move
 - fastest / slowest moves
 - median time per move
 - standard deviation
 - game graph
 
 Other features:
 - pause clocks at any time, or close the app, and resume your game later
 - choose landscape or portrait orientation
 - possibility to set different time for both players
 - show player names
 - show additional countdown for simple and Bronstein delay
 - show stage progress for FIDE clocks
 - move counter
 - full screen display
 - customized clock colors (100 combinations available)
 
 You can also activate or deactivate sounds and vibration on moves, final countdown and time out.
 
 Contact us via the app menu to send us feedback or request new features!
 
 Check out info about our partner Checkmate! from the app menu for users in the UK."
com.hapticapps.ct,Chess Time Live - Online Chess,https://play.google.com/store/apps/details?id=com.hapticapps.ct&hl=en&gl=US,"NEW: Chess Time Live is a new way to socialize with chess. Play unlimited online chess with people all over the world.
 
 Live Chess: Instant Bullet, Blitz, and Quick games!
 - In a rush? No problem! Tap the instant game invite to play chess right away!
 
 
 Real Chess Online: Play chess with friends and opponents around the world.
 
 
 Play Friends: Add your friends or make new ones through our instant game feature.
 - Easily invite and play chess with friends, family, and favorite opponents.
 
 
 Chess960: For players that are done with routine, now play Chess960 online with friends.
 - Chess960 is a variant with randomized pieces on the home rank.
 
 
 Rating Graph: Track your progress and chess rating to see your improvement over time.
 - Each time and game variant has its own graph and rating.
 
 
 Player Chat: Instantly chat with your opponent in app.
 - Learn from opponents and make new friends without leaving the app.
 
 
 Social Chess: Create a buddy list and play chess with friends and family.
 
 
 Learn Chess: Become a better chess player from playing and reviewing games daily.
 - Play unrated games that do not count towards your rating.
 
 
 Login with your Chess Time account to play live chess."
com.chess,Chess - Play and Learn,https://play.google.com/store/apps/details?id=com.chess&hl=en&gl=US,"Play chess online with over 80 million players from around the world!
 
 Chess, ajedrez, xadrez, satranç, scacchi, schach, șah, šachy, şahmat… no matter the language, no matter the name, it´s known as the best strategy game in the word
 
 Enjoy free unlimited 3d chess games and improve your chess rating with 350,000+ tactics puzzles, more than 10 million chess games a day, interactive lessons and videos, and over 100 powerful computer opponents. Unlock your inner chess master today!
 
 ♟ PLAY CHESS ONLINE FOR FREE:
 - 2 Player chess mode completely free to enjoy with your friends
 - Meet new friends and chat while you play
 - Join tournaments with thousands of other players online
 - Play games in real-time from one minute per game to 30 minutes or longer
 - Play daily correspondence online chess for low-pressure games on your own schedule
 - Try all these exciting chess variants in our app: chess960 (Fischer-Random), blitz chess, puzzle rush, bullet chess, puzzle battle or blindfold chess
 - Enjoy also other chess variants: 3-check, king of the hill, crazyhouse, doubles (bughouse), fog of war & more…
 
 🧩 CHESS TACTICS & CHESS PUZZLES:
 - Enjoy 350,000+ unique puzzles
 - Rated mode automatically adjusts to your skill level to help you improve
 - Race the clock to beat your high score in Puzzle Rush
 - Practice puzzles with specific themes in learning mode (Mate in 1, mate in 2, mate in 3, perpetual check, endgames, pin, fork, skewer, sacrifice, etc.)
 
 📚 CHESS LESSONS:
 - Hundreds of quality chess lessons and chess videos made by masters (learn all the chess moves and practice your skills with chess problems)
 - Interactive tutorials with tips and recommendations
 - Learn all the chess rules and strategies in a step-by-step lesson plan (opening, middlegame, and endgame)
 
 📟 PLAY CHESS ONLINE AGAINST THE COMPUTER:
 - Choose the level of computer opponent you want to play
 - Analyze your chess games to see where you went wrong and how you can improve
 - See how high you can go!
 
 🏰 CHESS COMMUNITY:
 - Join a community of more than 60 million online chess players
 - More than 10 million chess games played each day
 - Meet players of all levels, from beginner to grandmaster
 - Compete to get your own rating and try to join the best player online chess leaderboards
 - Watch the most popular chess superstars with millions of followers. Hikaru, GothamChess, Botez, Magnus and more!
 
 ✅ ... and MUCH MORE:
 - Play chess games offline against the computer
 - Articles by the best authors, coaches, and trainers
 - Develop an unbeatable opening repertoire with the opening explorer (Queen´s Gambit, Caro-Kann Defense, Sicilian Defense, etc.)
 - Send messages and challenge your friends to a free chess game
 - Choose from 20+ board themes, 2D & 3D chess pieces, and backgrounds
 - Get in-depth performance stats about your games, puzzles and lessons
 - Enjoy the most active community forums anywhere
 
 🎖 Playing chess online has never been so easy!
 
 Chess is the most popular game of all time! And Chess.com is the #1 place to play chess online with your friends and other players from all over the world!
 
 Please share your suggestions and comments with us. Our support team is happy to help you 24 hours a day, 365 days a year!
 
 ABOUT CHESS.COM:
 Chess.com is created by chess players and people who love ❤️ chess!
 Team: http://www.chess.com/about"
com.zynga.chess.googleplay,Chess With Friends,https://play.google.com/store/apps/details?id=com.zynga.chess.googleplay&hl=en&gl=US,"Take no prisoners and protect your King at all costs! Brought to you by the makers of Words with Friends, Chess with Friends Free is the best way to play the classic Chess board game on Android.
 
 Connect with friends and challenge them to one of the oldest, most popular strategy games in the world. Play multiple games at the same time, track your moves and improve your stats.
 
 Download Chess with Friends Free and start playing the most social chess game today!
 
 Features:
 ★ CONNECT with Facebook to play family and friends, or find and challenge a random opponent
 ★ TRACK your record, skill rating, and head-to-head stats to improve your game play
 
 ★ SIZE UP your opponent by viewing their matches and stats on their profile
 ★ PRACTICE MODE - Choose your skill level, train your brain, and learn new tactics by challenging Chesster the Chess coach. Play him online or offline to sharpen your skills
 ★ RELIVE the glory by replaying moves on the board in existing and past games
 ★ ENCOURAGE, boast or taunt your opponent with in-game chat
 ★ PLAY multiple chess games at once across Android and iOS
 
 Player Reviews:
 ★“Great app for playing with friends or anybody else that loves the game”
 ★“I love this game!!! It’s as simple as that. A must have for the chess player in all of us”
 ★“Great game that challenges your mind, and helps you learn new skills while playing with friends”
 ★“My favourite app. The first app I check each morning. The only game I play every day. I’ve got a dozen opponents across the globe. My favourite app by far.
 __________________________________
 
 Already a fan of the game?
 ★ Join the community on Facebook to discuss the game, give feedback and find more friends to play https://www.facebook.com/ChessWithFriends
 ★ Follow us on Twitter http://twitter.com/ChessWFriends for all of the latest news
 ★ Follow us on Instagram http://instagram.com/chesswithfriends for daily challenges and inspiring quotes
 __________________________________
 
 ADDITIONAL DISCLOSURES
 
 ● Use of this application is governed by the Zynga Terms of Service. These Terms are available at http://m.zynga.com/legal/terms-of-service.
 ● For specific information about how Zynga collects and uses personal or other data, please read our privacy policy at http://m.zynga.com/privacy/policy. Zynga’s Privacy Policy is also available through the Privacy Policy field in the Developer section below.
 ● The game is free to play, however in-app purchases are available for additional content and premium currency. In-app purchases range from $0.99 to $99.99.
 ● This game does permit a user to connect to social networks, such as Facebook, and as such players may come into contact with other people when playing this game.
 ● Terms of Service for Social Networks you connect to in this game may also apply to you.
 ● You will be given the opportunity to participate in special offers, events, and programs from Zynga Inc. and its partners.
 ● Must be 13+ to play.
 ● Use of this application requires a Facebook or Zynga With Friends account"
manastone.game.wcc.Google,World Chess Championship,https://play.google.com/store/apps/details?id=manastone.game.wcc.Google&hl=en&gl=US,"Main Features:
 ・Online Chess
 Designed for practicing real-world chess with world-wide opponent.
 
 ・Competition
 ELO rating based Ranking & Matching
 
 ・Guest & Google profile
 You can play anonymously.
 
 ・Review
 You can review all the game of yours and top 100's
 
 ・Forum
 Auto translated chess forum provided
 
 Features:
 ・Play a match against a friend on one device
 ・Chat with online opponents
 
 ETC:
 If you want to play off-line chess, We recommend you to play our another product 'Chess Tournament'."
