Package name,Reviewer name,Review,Rating
com.Hefestus.ChessClock.Free,Eros Konkola,"Works perfectly. I've been using this app for almost 5 years now, it's an efficient app",5
com.Hefestus.ChessClock.Free,Aravind Balaji,Super but logo not matched try to design a better logo,5
com.Hefestus.ChessClock.Free,CrookedNose2131,Great clock - shame support has stopped however.,4
com.Hefestus.ChessClock.Free,mahan tavalla,Really appreciate 🙏,2
com.Hefestus.ChessClock.Free,Christy Inocencio,I can use,5
com.Hefestus.ChessClock.Free,Stuart Dehning,Just like real!,5
com.Hefestus.ChessClock.Free,Sukhpreet Kaur,Good timer,5
com.Hefestus.ChessClock.Free,Archi Singh,Khallas,5
com.Hefestus.ChessClock.Free,SWATI DEVI BARAI,Very good,5
com.Hefestus.ChessClock.Free,Bright Chimwendo,Good app,1
com.Hefestus.ChessClock.Free,Rajnish Koushal,The best chess clock,5
com.Hefestus.ChessClock.Free,Jyoti Kumari,I like this clock,5
com.Hefestus.ChessClock.Free,A Google user,"Good features without sacrificing simplicity. Timing modes are: * Analog (basic countdown, which can go negative) * Sudden death (like analog, but clocks are locked after a timeout) * Simple delay (US style) * Bronstein delay * Fischer * Canadian * Byo-yomi * Scrabble (like analog, but displays a point penalty that increments for each minute spent past expired time). Players can be given different starting times, but they must have the same increment/delay settings. Most apps these days don't use the context menu, but that's where you change some visual aspects (digital/analog display, move counters on/off), turn sounds on/off, and see some basic statistics for the current game. I would love to see an hourglass timing mode (your time is out if at any point you've used X minutes more than your opponent).",5
com.Hefestus.ChessClock.Free,A Google user,Good,5
com.Hefestus.ChessClock.Free,A Google user,Excellent app to guarantee fair play on board games.,5
com.Hefestus.ChessClock.Free,A Google user,very nice 👍,5
com.Hefestus.ChessClock.Free,A Google user,It is good chess clock,5
com.Hefestus.ChessClock.Free,A Google user,Gjb,5
com.Hefestus.ChessClock.Free,A Google user,It is my karier Chess so l have took the chess clock,5
com.Hefestus.ChessClock.Free,A Google user,You should give option to edit the player 1 and player 2 names,4
com.Hefestus.ChessClock.Free,A Google user,Not a good it has no smooth move,1
com.Hefestus.ChessClock.Free,A Google user,Good in,5
com.Hefestus.ChessClock.Free,A Google user,Xd,5
com.Hefestus.ChessClock.Free,A Google user,"Need a timer? This is perfect, totally recommend it!",5
com.Hefestus.ChessClock.Free,A Google user,Need,4
com.Hefestus.ChessClock.Free,A Google user,Nice,5
com.Hefestus.ChessClock.Free,A Google user,Very very very very very bad,5
com.Hefestus.ChessClock.Free,A Google user,"Good, but there should be a setting where you can make it look like a real chess clock.",5
com.Hefestus.ChessClock.Free,A Google user,Bestest chess clock in play store,5
com.Hefestus.ChessClock.Free,A Google user,Fine,4
com.Hefestus.ChessClock.Free,A Google user,Excellent app it will be a five star if there wwre more designs but over all it was awesome thank you very much,4
com.Hefestus.ChessClock.Free,A Google user,Love it,5
com.Hefestus.ChessClock.Free,A Google user,wow! amazing...i like it,5
com.Hefestus.ChessClock.Free,A Google user,Aaa thu,1
com.Hefestus.ChessClock.Free,A Google user,chess champion,5
com.Hefestus.ChessClock.Free,A Google user,Simple & easy to use.,5
com.Hefestus.ChessClock.Free,A Google user,,5
com.Hefestus.ChessClock.Free,A Google user,No increment per move option,2
com.Hefestus.ChessClock.Free,A Google user,Nice,2
com.Hefestus.ChessClock.Free,A Google user,Best of them all,5
com.Hefestus.ChessClock.Free,A Google user,Very good,4
com.Hefestus.ChessClock.Free,A Google user,Liked it for efficent design,4
com.Hefestus.ChessClock.Free,A Google user,it's doing the job right,5
com.Hefestus.ChessClock.Free,A Google user,Best app of its kind. No need for a chess clock anymore! (except tournaments),5
com.Hefestus.ChessClock.Free,A Google user,I. Loved. It. But. I. Don't. Have. Enough. Space,5
com.Hefestus.ChessClock.Free,A Google user,Yes,5
com.Hefestus.ChessClock.Free,A Google user,"If you prefer Canadian overtime, this clock still doesn't compute it correctly: instead of resetting the timer after the required number of moves have been played, it just keeps counting down and registers negative integers as ""moves left""... Still needs to be fixed, after I have explained this to the developers several times. Otherwise, this is a great clock.",3
com.Hefestus.ChessClock.Free,A Google user,Great,5
com.Hefestus.ChessClock.Free,A Google user,Version 4.1.3,5
com.Hefestus.ChessClock.Free,A Google user,I just love it,4
com.Hefestus.ChessClock.Free,A Google user,it is like real,2
com.Hefestus.ChessClock.Free,A Google user,Cl,5
com.Hefestus.ChessClock.Free,A Google user,Nice,1
com.Hefestus.ChessClock.Free,A Google user,"1.There must be option to hide reset/pause panel.  2.crashes sometime when I open time per move stats.  3.Move counter shows opponents moves  4.in summary counter is not showing exact moves every time when I open,it shows increment in player ones moves for same no. of moves.  5.provide option to set time per move.",2
com.Hefestus.ChessClock.Free,A Google user,Best app in world,5
com.Hefestus.ChessClock.Free,A Google user,Fuuuuuuuuucky,5
com.Hefestus.ChessClock.Free,A Google user,???,1
com.Hefestus.ChessClock.Free,A Google user,Satisfactory,3
com.Hefestus.ChessClock.Free,A Google user,it is so amazing,4
com.Hefestus.ChessClock.Free,A Google user,Its good,4
com.Hefestus.ChessClock.Free,A Google user,After downloading & un-installing other chess clock apps. I found the real chess clock app.! Kudos & Thanks to Hefestus!,5
com.Hefestus.ChessClock.Free,A Google user,"Really nice you have bayomi and Canadian clocks! Thanks to developers for implementation ""opposite"" mode. In portrait orientation, but half of the screen oriented usual and another half is oriented opposite.",5
com.Hefestus.ChessClock.Free,A Google user,A veteran blitz player like me can immediately feel unresponsiveness due to lack of multitouch support. These are moments where I tap the clock while my opponents hand has not yet lifted. No need to explain further because it's the very same reason why android qwerty keyboad is unresponsive without multitouch. So Sad because this is the best looking chessclock out there :(,1
com.Hefestus.ChessClock.Free,A Google user,I like this app its very good and the it has are good too.,5
com.Hefestus.ChessClock.Free,A Google user,Very nice,5
com.Hefestus.ChessClock.Free,A Google user,Real Chess,5
