Package name,Reviewer name,Review,Rating
com.agadmator.chessclock,Great Ape Adventure,Lacks features like a move counter and some additional time increments.,4
com.agadmator.chessclock,Devan Kingsford,Fantastic. Love the whole screen button so you don't have to be so precise and dexterous when you're in a quick game,5
com.agadmator.chessclock,Dan Walker,Simple and effective. Love it,5
com.agadmator.chessclock,Urban Pompe,we nduRR= rjNNs\\| e.sgigyqsvgyby,3
com.agadmator.chessclock,Mateus Rodolfo,Good app. Would be 5 stars if one could choose between Bronstein and simple delay on settings. For now there's only the simple delay option.,4
com.agadmator.chessclock,muhammad farooqui,"Very intuitive app, would have appreciated move counter option that can be linked with various time control games.",5
com.agadmator.chessclock,Andrea Balandini,"Excellent!!! I wish you could adjust the font size, the numbers seem a bit small",5
com.agadmator.chessclock,Karl Weyenberg,"Simple, aestthically pleasing. The click sound when you hit the clock is very pleasing as well.",5
com.agadmator.chessclock,Shawn,"Simply the best and cleanest chess clock UI in the entire app store. Very easy to use. If possible tho, I think if u make a feature to add different ""stages"" (e.g. Adding 30 minutes after 40 moves and maybe even custom increments in each stage) then the app will be perfect.",4
com.agadmator.chessclock,Secret Squirrel,Perfect,5
com.agadmator.chessclock,Jack Sankey,"Nice clock but visually unintuitive. The person whose turn it is is muted in color, while the other person has a bright red pause button. I kept thinking it was the wrong person's turn and it added confusion to the game (on dark theme, but light theme looked similarly confusing). Anyway, it's a nice app, but the pause button muted, like gray, and have a bright red highlight around the time that is currently ticking down (or something more elegant) so it's easy to see from peripheral vision.",4
com.agadmator.chessclock,Peace Benson,Nice app It's very simple and still does what is required. You can even set a custom clock.,5
com.agadmator.chessclock,TROY GAYMING,Thank you agadmator,5
com.agadmator.chessclock,Howwhy Workout and Fitness TV,Very good,5
com.agadmator.chessclock,Vishrut Manseta,The best Chess clock app I've used so far... All the custom presets are well thought out. Quick and easy to use. Simple design. Great app,5
com.agadmator.chessclock,Isaiah Leeds,Perfect basic mobile chess clock,5
com.agadmator.chessclock,Xavier Chimbwe,This is impressive,5
com.agadmator.chessclock,Paul DeCamp,This one works better than the first half dozen (only the ad-less ones) that I tried. It features work nice. The customizable option is its best feature.,5
com.agadmator.chessclock,Daniel Hernandez,Hello everybody,5
com.agadmator.chessclock,Jeff Robertson,Perfect!,5
com.agadmator.chessclock,Kishor Wavhal,Angad Mathur 😂,5
com.agadmator.chessclock,Ratomir Stojanovic,"Nice, clean and functional! :)",5
com.agadmator.chessclock,Renato de Freitas,Great chess clock.,5
com.agadmator.chessclock,Manoj Manjunath,No Armageddon clock can be set!.,3
com.agadmator.chessclock,Hannes Artur Semper,"Very nice chess clock with a lot of options to work with. Only negative side is that there is no low time warning nor is the app very bright so it is hard to see when playing somewhere bright, like outside.",5
com.agadmator.chessclock,Jake Johnson,Nothing to improve. Works flawlessly with zero ads.,5
com.agadmator.chessclock,Jaitrik,Awesome,5
com.agadmator.chessclock,Emil Boboc,"There is no feedback option in the app. No updates for more than a year. There is no way to mute the sound or change it to something less annoying. Otherwise, great app! I will rate 5⭐ once improvements are made.",1
com.agadmator.chessclock,zancospancos,"Aesthetically pleasing interface. I appreciate how it resizes after each player hits it. Custom clock setting names and display of exact settings are good. However, I wish the clock had stages so I could have 15 minutes for the first 40 moves and 5 minutes for sudden death for example.",4
com.agadmator.chessclock,David Polehonski,"Great app, smooth interface. Only thing missing is additional bonus time when you reach a given number of moves (and a move counter).",4
com.agadmator.chessclock,NocturnalNick,Perfect,5
com.agadmator.chessclock,someone,"Simple and perfect. I'll still give it five stars, but I do wish it had a higher contrast setting.",5
com.agadmator.chessclock,Fernando Cortes Aviles,"A chess clock designed from a real chess player. No ads, just for play. Very clean app and not require much space.",5
com.agadmator.chessclock,Pri,Easy to use and like the way it looks,5
com.agadmator.chessclock,Harshit Sharma,"Simple, adeqaute, and less space consuming app. An perfect chess clock.",5
com.agadmator.chessclock,Max Potts,"Hello everyone. If you find the clock animation gets in the way of faster play, you can turn it off in the options. It doesn't look as cool, but it lets the clock switch faster.",5
com.agadmator.chessclock,Leon Nel,Exactly what I needed,5
com.agadmator.chessclock,George Romao,Money never sleeps.,3
com.agadmator.chessclock,sarvjeet singh,The best in the category. Works better and more seamlessly than all others. So smooth animations.,5
com.agadmator.chessclock,KingTreviSam 8,Best chess clock!,5
com.agadmator.chessclock,Ibrahim A,"Nice app, it would be nice to give a chance to cancel or pause when needed.",3
com.agadmator.chessclock,Daniel Sakala,Amazing,5
com.agadmator.chessclock,yasiu cyber,The app is so good it stole my girlfriend and I wasn't even mad.,5
com.agadmator.chessclock,G Thomas,Simply the best chess clock from the best chess YTuber. Completely satisfied!,5
com.agadmator.chessclock,Anubhav Dixit,"Gives classical sound of ""tick-tick"". Loved it",5
com.agadmator.chessclock,Roby Suryatama,"Agad is my ""online teacher"". So i support his work",5
com.agadmator.chessclock,Michael Cohen,"Easy to use, totally customizable. Greatvwork",5
com.agadmator.chessclock,Target Noggin,There are much better apps than this.,1
com.agadmator.chessclock,Juan C,I have enjoyed it so far. I especially like that the time button is most of the screen. Also easy to use,5
com.agadmator.chessclock,Josh Bauer,Awesome app! The simplicity is key here.,5
com.agadmator.chessclock,Jan J.,Great app! Just what I was looking for,5
com.agadmator.chessclock,Franco Oriolani,Excellent. Clean and functional. Well thinked.,5
com.agadmator.chessclock,Leo Wecke,"Can't turn the sound off, even when phone volume set to mute -still hear the clock tap sound animation for every move! Highly annoying especially when playing in social group gatherings. Agadmator, I'm a fan, but please change this!",1
com.agadmator.chessclock,Hal Stallworth,Perfectly functional without any unneeded extras!,5
com.agadmator.chessclock,Deivasigamani R,Super app,5
com.agadmator.chessclock,Manan Pandya,You are a good man,5
com.agadmator.chessclock,Miguel Cabrera,The best app I have ever tried!,5
com.agadmator.chessclock,Ajay Prem,I was looking for a clock with a large amount of screen area to touch.... This is exactly what I wanted.,5
com.agadmator.chessclock,damir wilder,Good looking app with easily customisable clocks. Would be nice to have: the option to start the clock by tapping on either of the timers (not just the start button in the middle)!,5
com.agadmator.chessclock,Josh Hadley,I have an erection.,5
com.agadmator.chessclock,Vladimir Fernandez Pepo,This one application is fantastic.And very effective.,5
com.agadmator.chessclock,Alef Pereira,"I like this app, but I miss some features and have some improvements I'd like to recommend. 1. Would be great to support multi-stage time control functionality. This would allow to use this app for classical FIDE time control for example. 2. Also an option to show a move counter. 3. The other thing is related to the position of the time text, which are diagonally opposed, for one player this seems strange to look to it's own clock, and for the other player it seems strange to look to the opponent's clock. (a landscape option would also be great)",4
com.agadmator.chessclock,Ronald Robbins,Excellent chess clock. Easy to read and use!!!,5
com.agadmator.chessclock,Philip Quinn,Easy to use and love the custom function to differ time allowed for each player,5
com.agadmator.chessclock,Alpha Bet,Does what I need,5
com.agadmator.chessclock,Amit SK (motley Reflection),Simple and great,5
com.agadmator.chessclock,Xzio,Really nice clean interface and easy to set up custom timers.,5
com.agadmator.chessclock,AviTech and Gaming,Phenomenal,5
com.agadmator.chessclock,Brijesh Bindal,best chess clock presest are the best part and all of the above its free very nice app till now,5
com.agadmator.chessclock,Thi Dang,"My only complaint would be that the contrast between black and white is too low which could be a problem for some vision impaired people. Otherwise, a perfect app.",4
com.agadmator.chessclock,Iván Felipe Pacheco Sarmiento,Very simple. Easy to use and customisable. It's the best clock app I have use.,5
com.agadmator.chessclock,Ahmet H.Omerovic,excellent,5
com.agadmator.chessclock,Lokesh Jain,Amazing application. Serves the purpose well. Customisation is allowed. Very good. I like.,5
com.agadmator.chessclock,Griffin Beaulieu,Works and looks great. Would recommend,5
com.agadmator.chessclock,Matthew,This is truly the best chess clock on the app store by far. Thank you agadmator!,5
com.agadmator.chessclock,Ocoro,"very good, just wish you could set the color to be more obvious whose turn it is",5
com.agadmator.chessclock,Abhinandan Patil,The best chess clock ever essentially just as good as a normal chess clock a few good features Dark mode After your turn the enemys side of the chess clock gets bigger sgowing that its your turn Presets,5
com.agadmator.chessclock,TUSHAR GUNARI,Does all that a chess clock is expected to do.,5
com.agadmator.chessclock,Luka Gunjaca,Perfectly does what it claims to do. Basic but stable and looks good visually.,5
com.agadmator.chessclock,Keelan S,*chef's kiss*,5
com.agadmator.chessclock,Jonas,Beautiful chess clock!,5
com.agadmator.chessclock,Mostafa Jawad,Very nice interface.. better than any clock I've tried.. would like to see the option of time control clock to use in certain games and in training for classical chess,4
com.agadmator.chessclock,Tom L,Great clock,5
com.agadmator.chessclock,Michael Anthony Abenales,"It's a good chess clock. But you could improve on color switching when you hit your time because it is not clear. Also a lock system so that you could not touch any button on your phone especially the ""back"" button",4
com.agadmator.chessclock,Curt Sanchez,👌.,5
com.agadmator.chessclock,Baz Brooks,Perfect for the job & easy to use!,5
com.agadmator.chessclock,Jason Zheng,"Awesome app. Works great, allows custom chess clocks, and looks beautiful.",5
com.agadmator.chessclock,Ayushmaan Ganguly,Great,5
com.agadmator.chessclock,Rakesh K K,Superb app fantastic,5
com.agadmator.chessclock,F M,"Got everything i needed, and well designed.",5
com.agadmator.chessclock,Ravi Baranwal,"Simple, sleek and awesome. Happily 5 *",5
com.agadmator.chessclock,Dino Brdar,"App is very well made and does exactly what it should do very elegantly. Design language is modern Android, I like the options for making custom clocks, dark mode is welcome addition, icon now follows different shapes (at least in Nova launcher) and the sound effect is very satisfying.",5
com.agadmator.chessclock,Matthew Alberts,I'm an excellent downloader of chess clocks!,5
com.agadmator.chessclock,Shubham Jangid,Good Stuff,5
com.agadmator.chessclock,9_E_D_59_Preet unadkat,You will love it Btw agadmator is best,5
com.agadmator.chessclock,Derek Stride,Amazing! Love how the clock expands to show the active player. Also love the ability to set different time controls for each player.,5
com.agadmator.chessclock,Maheshka Thennakoon,This is very standerd stuff!👌,5
com.agadmator.chessclock,Remy B.,"Best chess clock app, nice and easy interface",5
com.agadmator.chessclock,Bibek Biswas,Nic,5
com.agadmator.chessclock,Ritesh Kumar,Useful,5
com.agadmator.chessclock,Michele Sordo,Top clock by top player,5
com.agadmator.chessclock,SS,Agad uwu,5
com.agadmator.chessclock,Santiago Billy,This is going to help me play with my friends,5
com.agadmator.chessclock,Mark Lumongsod,Very good apps highly recommended.,5
com.agadmator.chessclock,Taijiro Bernstein,Excellent app! It's not clear to me what toggling green arrows in the time edit screen does. Maybe some indicator or small FAQ might help. Edit:. the red arrows seems to prevent forcing symmetrical time! default green means change one color time makes the other equal.,5
com.agadmator.chessclock,Marlon McAllister,"Exactly what I was looking for. Its not actually for chess. I needed a double timer for work where I could start 1 timer when I do work and start the second timer for when something stops me (poor IT performance, interruption or fixing something that shouldn't be needed). Thank you.",5
com.agadmator.chessclock,D Hatter,"Thanks for this great app and of course for all the videos on agadmator's YouTube channel. Would it be possible to have the chess clock running on two connected (Bluetooth or even WiFi) phones? Perfect for hygiene & social distancing. Best, FurtherAdont on lichess",5
