Package name,Reviewer name,Review,Rating
com.chess.clock,siddhartha attri,Liked it,5
com.chess.clock,Your Channel,This is the best chess timer...easy to use..deserves 5 🌟,5
com.chess.clock,Amod Jadhav,Good.....,5
com.chess.clock,Abhimanyu Singh,Best,5
com.chess.clock,Veg Soup,Good but you can't add your own time limits.,3
com.chess.clock,Lucas Handekyn,"Perfect for what it needs to be, simple does the job well and it's free.",5
com.chess.clock,David J. Wallace (Machodave_215),"It does it's job, not much I can say.",5
com.chess.clock,Emmanuel Udoffe,Easy to use. I'm loving it.,5
com.chess.clock,Sarah Clawson,Totally OK 👍,5
com.chess.clock,Nguyễn Thanh Nhân,pretty good,5
com.chess.clock,JustaBox,"Great simple chess clock, does what it says well and let's you customize the time",5
com.chess.clock,Sakina Memon,Funnnnyyyyyyy,5
com.chess.clock,Kushagra Singh,"I would give it 5 stars if it had vibration, some tactile feel, on each click.",4
com.chess.clock,Regieben Gonzales,Effective when we are playing a chess,5
com.chess.clock,eslam serag,Good 😊,4
com.chess.clock,Anouar Dj,"There is no settings no access to any menu, it started from 4.5 the other end 4.5 and there counting down from 9 to 1 , strange as f***",1
com.chess.clock,Dablefoste1,Weeeeeeeeeeee,2
com.chess.clock,Iqbal Ipoy,can U add the beep when time is up ?😸,5
com.chess.clock,Matthew Lavers,Pretty good. Wish it had the ability to set time odds.,3
com.chess.clock,Nithish .M,Super,5
com.chess.clock,Jamie Flynn,works good,5
com.chess.clock,Evgeny Mamontov,Not practical because It does not preven screen lock,1
com.chess.clock,Kevin Light,"It used to be 5 star. I updated and suddenly the sound is not working properly. One minute one gets a click sound when one taps the square, then suddenly there is no sound or very feint. What gives??? Please assist!!",1
com.chess.clock,Jimit Chavda,The app directly opens to some 5:00 format it doesn't show settings option too pls solve it,1
com.chess.clock,AGNES Mohale,Nice chess clock I think you should download it and enjoy.,5
com.chess.clock,M.Ramesh M.Ramesh,Ok,5
com.chess.clock,Myrna Aspiras,Highly recommended,5
com.chess.clock,Finn,Well.. It is what it says it is. Easy to use and customise.,5
com.chess.clock,Aftab syed saud,Really good,5
com.chess.clock,Safayet Milkan,Thanks for the updating to the newer version.,5
com.chess.clock,Priya Gajjar,Best if you wanna play chess and some noise tikle for chess when struked,5
com.chess.clock,Choy lhyn Custodio,I love this because i dont have a chess clock but when im download it im always play a chess without needed,5
com.chess.clock,Krithik Chellappa,Superb,5
com.chess.clock,DikshChess 14,Good,5
com.chess.clock,Zaman Haidary,very useful,5
com.chess.clock,kamesh gaming,Hgv,5
com.chess.clock,Dylan Perry,Does not show delay in fischer time,4
com.chess.clock,Game Over,Best chess clock ever,5
com.chess.clock,santosh sonkar,Good work is done,5
com.chess.clock,Coarse Rosinflower,"This is a great app, only problem is that it runs in compatibility mode.",5
com.chess.clock,Teja Swini,It is op,5
com.chess.clock,Pras2ti Kakati,Such a nice apppp,5
com.chess.clock,liora jalfon,"theres nothing improve. you pick your time control, and start. all the buttons are easy to understand, quick access, no distractions or missclicks during play, just perfect! and zero ads.",5
com.chess.clock,Yogeeta Shrivastava,Mast,5
com.chess.clock,Mamta s,Cannot support newer version of Android,1
com.chess.clock,Asul7 Oil,Very GoooooD!,5
com.chess.clock,Situ Kumari,Not update,1
com.chess.clock,Pankaj Bhambhani,"Simple, no ads, don't need any permission, great work mate... Thanks..",5
com.chess.clock,chanuga dewsika,It is a good app,5
com.chess.clock,Sumit Jatal,"Very useful in practice to chess Save our money , because using this app Did not purchase a clock",5
com.chess.clock,SHUBHAM LOHANI,I like the app but the problem is it does not support new android virsion please give some update to fix this...,2
com.chess.clock,CrypticSavage 04,Awesome,5
com.chess.clock,rai dust,No option for both time to make horizontal diplay like real chess clock,5
com.chess.clock,Gamer ?,Works well,5
com.chess.clock,Somnath B,Nice chessclock,5
com.chess.clock,Raymond Lumbangaol,Good,5
