Package name,Reviewer name,Review,Rating
com.chess,Crisjohn Andrewcel dela Peña,This is a strategy game so good this game because I want to learn how to game chess set will go,5
com.chess,Nguyễn Minh Đạt,Game lỗi,1
com.chess,Joe Richey,"I have a very dull and bitter taste in my mouth currently. Twice now, in the middle of a game, my game window just disappeared (on mobile). I lost both games to abandonment. There is no option or area in the GUI to find your game and rejoin the game. It seems as though this site is plagued by cheating players as well. To many times wierd and nonhuman moves are made. It seems all lower ranking players are playing a higher than 95% game. Uninstalling this garbage",2
com.chess,Goggy55,amazing app,5
com.chess,John Trezise,"good app, can play by your self or on line",5
com.chess,Abraham Manuel,"There are something wrong with this app. I was playing now but some how the game jamed and the opponent timer was running the the reached to 00:00, i went to my profile the wasn't showed who won. I was some times going to win but suddenly it resignd me auto. I will unistall for good. Like someone cheating the results. This is awefull",1
com.chess,Abhirup Mondal,I am rating it 5 star but recently i am having facing a problem of matchmaking and it showing no network connect even though i have full network services thank you,5
com.chess,Nitin Navgane,Best platform to practice,5
com.chess,Roy Loh,"The connectivity is absolute trash, I've lost multiple games as a result of sudden disconnections, even on 5G.",1
com.chess,Zain ul Abdin Rajput,Very bad server connectivity. I have lost many times because the game disconnects even though my internet is working completely fine. Terrible experience.,1
com.chess,Aris kolivas,Very bad app. I have a winning position and all of the sudden i get the auto-resign and lost the match. In 5 games i got it 2 times and lost the matches i should have won. And of course the piece tab doesn't goes off in every move so i make moves I never wanted to make. Terrible.,1
com.chess,raju boppani,very fast in connecting games,5
com.chess,PRIYTAM KUMAR,"I love this app, it's definitely the one if you want to play challenging game. Kudo to the team and thanks a ton for making this app. Only thing I would like to request to provide some incentives to best performer like free subscription, more Puzzle etc. If someone wins 3 or 10 matches in a row, Or keep their score/ranking above 1k( it could be anything). This will definately make playing more engaging.",4
com.chess,Rhayan Job Bautista,"Its not responding as normal right now it was saying that i have a low internet connection but when i checked my speed connection in my phone it was fine,this has caused me 100 rating points so please fix this,its driving me mad on every time it happens",2
com.chess,Wanted Gm Productions,"Unfortunately there's just to many random bugs. Connection drops for no reason, the app launching new games when you open the app, that end up costing to much Elo to make the risk off using the app worth it. Just stick to the browser version.",2
com.chess,Daniel Brodersen,"game loses connection to match all the time and i have great internet, forces me to autoresign. trash",1
com.chess,Fardeen Alam,Despite good network connection sometime it shows network issue.,2
com.chess,Knowledge Club,Very bad app. It's not working when you will have to won.,1
com.chess,Vasilis Leandrou,Bad server... Used to be ok... Also a lot of cheaters and unfair players,1
com.chess,Joshua Macdonald,Very well put together. The best chess app I've used thus far. Only short coming is when one loses signal momentarily then it struggles to refresh the game and often aborts it.,4
com.chess,Pratik Marda,Getting auto resigned again and again despite good network; will never install this app again,1
com.chess,Bulgarian country ball,the best cheess app,5
com.chess,ulxi,"very stressful game, i never with played someone who at my level",1
com.chess,Reynold Bartolome,"Ngl, it's great but unlike the PC Version, you cannot draw arrows. IGI,it's not supported but I really want it",4
