Package name,Reviewer name,Review,Rating
com.hapticapps.ct,percy mashego,Fairly good app though there are delays in finding an opponent,3
com.hapticapps.ct,Jim,Great!,5
com.hapticapps.ct,michael ikeanumba,This app deserve 5 star plus but I don't know why am having issues with the timing. It frustrates my playing. I don't really know if it's my phone or poor Network from my location,4
com.hapticapps.ct,EJ Church,"pretty good. would give 5 stars if allowed continued board interaction in ""review"" modes AFTER game is over. (it just stops at the last move, with no way to continue exploring various endings... e.g. opponent forfeits early, analyze playing out of a jam, etc)",3
com.hapticapps.ct,shane wilps,Excellent! Pace of play options for all skill levels and minimal ad interruption.,5
com.hapticapps.ct,hasan usman,Gg,4
com.hapticapps.ct,David Dollinss,Quick fun chess,5
com.hapticapps.ct,RABACHI Stone,Freezes up a lot causes lost,2
com.hapticapps.ct,arul raj arul raj,Good,5
com.hapticapps.ct,karthik babu,Not working now,4
com.hapticapps.ct,Swapnil P,"Update: The current version is PATHETIC. It is laggy, has an comfortable UI layout, stuggles for connectivity & feels like a data harvester. There was no need to change the original layout. Developer(s) should fix it and stop ruining the game. Original review for earlier versions: Nicely designed game. Has almost everything that a chess game should have. Only 2 features are missing. 1. Option to favorite or 'star' a specific match. 2. An indicator to show if we did chatting in a game or not.",2
com.hapticapps.ct,Jonnny Cool 666,Love it. Watch out for spammers. But great competition and good people great players are here,4
com.hapticapps.ct,Jasper Kinnear,Damn goog game,5
com.hapticapps.ct,Gregory Green,Good game interaction,5
com.hapticapps.ct,Alvin Tate,"Fix the timer, this is crazy!!! Useless it's a cheat code or a game hack. If so, give me the code then!!",1
com.hapticapps.ct,Dheeraj Dharshan,Super game never and ever,5
com.hapticapps.ct,Mosesriadi,it would be very nice if chat could appear on the same page with the board,3
com.hapticapps.ct,Joel Scott,Awesome all around!,5
com.hapticapps.ct,Anthony Kendricks,It's a great tool to play other people with Different levels opposed to paying the computer. I'm getting used to learning the app. It gets two thumbs up.,5
com.hapticapps.ct,Alvaro De La Garza,Ok,4
com.hapticapps.ct,Jason Giusti,Love this app,5
com.hapticapps.ct,Arsem Avelis,Delay time it crash most of the time it won't open. Maybe if the issue fix I'll give you more star. Timer is headache's super delay...,1
com.hapticapps.ct,Angelo Rivera,I like it keep me on my game,5
com.hapticapps.ct,Edmund Kearney,VERY GREAT EXCELLENT APP FOR CHESS PLAYER 👏,5
com.hapticapps.ct,Pramod Bhalerao,Very good game,5
com.hapticapps.ct,conomae Son,I like how many option this app offer. I ve tried many different chess app this one is by far my favorite.,5
com.hapticapps.ct,Mar Sinadjan,very slow matchmaking,1
com.hapticapps.ct,DeArius Brevard,Make better tournaments results in scored points . Improve abandon games to avoid cheaters . Advance tournaments for your players with oldest players,3
com.hapticapps.ct,Nothankyou,"Chess good, WIFE better!",5
com.hapticapps.ct,Wright,For quick chess on the fly its ideal..,4
com.hapticapps.ct,Greg Peeples,Great Chess App!!,5
com.hapticapps.ct,Christien Chapman,Great game for free. Ads aren't long. God bless the developers of this game. Alot of fun!,5
com.hapticapps.ct,Michael Underwood,I love to play chess and I love the multiple settings y'all have,5
com.hapticapps.ct,Kara,"Its a great app. Never fails, always available games, Ive met some awesome people on here from all over the world.",5
com.hapticapps.ct,Pervert Fellow,Sometimes timer was going on even if I played my move.,3
com.hapticapps.ct,Steve Lattier,"I use to really like this site. Unfortunately it is now filled with cheaters using engines. It really is a shame. But, if you don't mind losing to a 1100 rated player with no mistakes in a game, you'll love it then",1
com.hapticapps.ct,Kenneth Garrett,Great,5
com.hapticapps.ct,Parmesh Rajput,Excellent,4
com.hapticapps.ct,Ahmad Benyard,) 0.00 E etcCCwmjrv c c1 v tv w b 7 and 71 area is a good way 👌 t55,4
com.hapticapps.ct,Shkelqim Hoxha,Best app its perfect.,5
com.hapticapps.ct,Mishael Pepple,It a really cool app you get to play with real life people from all over the world id give it 5 star but players should be able to practice chess 960 with computer,4
com.hapticapps.ct,L Ariza,No good.,1
com.hapticapps.ct,Ranil Randol Muthukuda Arachchige Don,Wow,5
com.hapticapps.ct,Mark Davisson,Great way to play others in chess,5
com.hapticapps.ct,Gabriel Dsouza,Not at all well coordinated game.. Do not know to pair with right players..... Better learn ai,1
com.hapticapps.ct,STERLING YANCEY,Delay,4
com.hapticapps.ct,Arush Verma,Very good app to play chess pvp...,5
com.hapticapps.ct,Roland Jackson,"Great app, makes chess Great again!! Sturdy, no crashes",5
com.hapticapps.ct,Niki Jaye,Great game for serious chess players!,5
com.hapticapps.ct,Neeraj Gautam,Great experience,5
com.hapticapps.ct,Matthew Zrelak,Hi I love it,5
com.hapticapps.ct,Kent Johnson,Nicely done.,5
com.hapticapps.ct,Yoga Academy,Not accept login lol,2
com.hapticapps.ct,Doug,Shouldn't offer blitz without ability to pre-move. Also how do we filter out game variations? E.g 960,4
com.hapticapps.ct,Mahmoud Khater,Too much advertising,1
com.hapticapps.ct,Eli Baylis,Berry goud chess game 🙏🏾,5
com.hapticapps.ct,Bryan Herrera,"Fantastic game, hope they add a report function for the offensive names/messages but overall wonderful to have chess on the go in real time.",5
com.hapticapps.ct,خالد khalid,Very nice app,5
com.hapticapps.ct,Bharathi Shubashini,It never show the events.I even uninstalled and reinstalled it again.,1
com.hapticapps.ct,Christian Stene Bakkhaug,It sucks that you can't go though your games on Android.,3
com.hapticapps.ct,DAVID REED,Great fun playing here on this chess site!!!,5
com.hapticapps.ct,Petra Hewson,Hopeless. Can't even open this app. One star is to much.,1
com.hapticapps.ct,Jayson Wallker,Total garbage you get the advantage on the computer and the game locks up and cheats. Drops pieces where you don't want them. Do not download this piece of garbage. You will be sorry. I'm a good chess player. This thing is trash. They should either redo it or get rid of it. You should be ashamed of putting out such shoddy garbage.,1
com.hapticapps.ct,Ashok Makhija,"Excellent for spending time, for retired persons like me 👍",5
com.hapticapps.ct,Shawn Alex,This app is the best online multiplayer chess app in the world...In fact it's the best chess game because you can also play with the computer and learn new things....And you can chat with opponents 😁😁💥💥💥,5
com.hapticapps.ct,David Reece,"Great app, lots of cool features! Multiplayer is fun and can be very competitive. Probably one of my favourite chess apps atm. Very very small amount of ads, 1 at the end of a match or so already better then most apps who constantly make you watch 30 seconds videos. Premium features aren't forced on you and you can still do everything without premium features. Only thing I wish would happen is players get more negative points for quitting a game mid way through or because they're losing",5
com.hapticapps.ct,3G Controls,Fun and easy,5
com.hapticapps.ct,cris shakur yahfee,Vg,5
com.hapticapps.ct,Jose,Like all the options to improve your game from beginner on up,5
com.hapticapps.ct,John Provience,"It's a great app, for all levels of player, matching your abilities to a player in the same range. Lots of fun, I play often, good luck, but practicing is better.",5
com.hapticapps.ct,Jake,Great game but would be good to have the option to disable chat as a setting (perhaps other than preset pleasantries) - more and more juvenile idiots seem to be playing and the constant trash talk is pretty tedious. Muting in-game wastes time - especially in a bullet game. Great game though - idiots arent the developers fault.,4
com.hapticapps.ct,William ten Holder,"Great, love it !! Win or lose . . . It's the best game on the planet !!",5
com.hapticapps.ct,carter ebenal,"Great game, ads are a bit much... But a fun game.",5
com.hapticapps.ct,Melissa Lopez-Davila,It's a good game :) very addictive too!,4
com.hapticapps.ct,sam lang,"Great 👍 Installation takes a while (22 minutes for '16.00' mega ... Bits?,)",5
com.hapticapps.ct,William Ten Holder,Love it !!,5
com.hapticapps.ct,Terry Weaver,"Horrible Game. Lost 3 games seeking things out like Chat? Even old poker sites had Chat. Options I've needed are hidden or gone. I can't look for them unless, I'm in a game. Options are way too hidden. Where is the Contact? ""Tap"" 4 Chat is useless! Where are the 10~15 minute games? Due 2 needimg some things to play here. When rushed, the game makes me tap for the move 3 times or more, but it doesn't stall my clock? Problems like shows Chess Time cheats and these not a bug. I just dumped",1
com.hapticapps.ct,A Hemsley,"Great app, cant find any of my friends when we try to play though, but love chess and this app!",5
com.hapticapps.ct,Ashley Robertson,This app is wack now why is there a timer if you gonna say abandoned even before timeout,2
com.hapticapps.ct,Polo Power,"i getting horrible upsetting messages from people, and when i block them they make another account, there should be a button so only friends can direct message you. some of the upsetting things they say to me. DIRECT MESSAGES SHOULD BE FOR FRIENDS ONLY",2
com.hapticapps.ct,Andy Kent,Brilliant,4
com.hapticapps.ct,Tony Johnson,When ever you are ready sir,5
com.hapticapps.ct,Dhanush Dhanush,Very very very bad game not work yaru install pannathinga,1
com.hapticapps.ct,Damien Harper,I get beat alot but gameplay is awesome.,5
com.hapticapps.ct,Isaac Davis-Bey,Love this app.,5
com.hapticapps.ct,Bob Ham,it will not woek at all on bluestacks,4
com.hapticapps.ct,Eddie Erb,"Great game but they allow a certain vulgar ad to be played on their app. It is for the app called ""Luv"" which basically promotes rape and sexual assault. For that reason, I am leaving a 1 star rating and deleting Chess Time Live. Absolutely ridiculous.",1
com.hapticapps.ct,SheepiiHD,This game is literally a piece of garbage,1
com.hapticapps.ct,Darin James,I really enjoy this chess app. Theres really great players from around the globe....Its pretty wonderful and easy to use.,5
com.hapticapps.ct,Umesh Kaveri,Veri bad login,1
