Package name,Reviewer name,Review,Rating
com.kokajin.applications.chessclock,Victor Chibwe,I never expected to find a quality clock like this one. This is the best chess clock I've ever come across!,5
com.kokajin.applications.chessclock,Arpan Kodali,nice chess clock app,5
com.kokajin.applications.chessclock,Stefano Fiorani,"This app seems very good; nice and clean. Since I'm not planning to use this clock for chess, but for a different game (i.e. Hive), it would be very nice, albeit totally superfluous, to have the option to show near the timers, short hexagonal prisms instead of kings. I know I can disable the chess icons if they end up bothering me too much, I just thought, since it looks like you encourage feedback from your users, that you would like to hear me out. Bye bye. <3",5
com.kokajin.applications.chessclock,Aldi Gozali,I tried at least three different chess timer apps and this one is so far the best. The app meets my expectations which are it has the sound of time-end. It also has asymmetrical time setting. It's also able to display the view in landscape.,5
com.kokajin.applications.chessclock,StvRdhll,Very nice app. Very flexible. I use it for backgammon matches. Suggest more colour options on settings.,4
com.kokajin.applications.chessclock,Vinay Khemka,Good and excellent,5
com.kokajin.applications.chessclock,Ayden Thomas Chan,So far my experience is good just reseting the clock does have an ad overall not a bad chess clock!,4
com.kokajin.applications.chessclock,Franz Schmidt,Best chess clock - especially for teaching learners new to competitive play.,5
com.kokajin.applications.chessclock,Gennady Duchovich,"One stop shop for a virtual chess clock. It covers everything you can wish for and is superior in my opinion, here is why: - Colour schemes - Predefined timer templates - Various types of clocks from classic to FIDE - Setting different times per player - Showing kings and player names - All features are free, but I paid a small fee anyways to remove a few ads and give deserved credit to developer for their efforts. Kudos!",5
com.kokajin.applications.chessclock,B Dee,Simply Good,5
com.kokajin.applications.chessclock,doe,"Incredibly customizable, it's just about everything you could want from a chess clock app, even FIDE!",5
com.kokajin.applications.chessclock,M KARTHIKA,Ok,2
com.kokajin.applications.chessclock,Bombarde Ajaykumar,Best app that I have seen in chess match,5
com.kokajin.applications.chessclock,Rosamund De Florimont,Very good and practical Chess Clock app. Only issue i found us the limit of possible game programs. I recommend this.,5
com.kokajin.applications.chessclock,KRISHNA KUMAR,Good,5
com.kokajin.applications.chessclock,Murugavel Yadav,Very user friendly 😉 amazing app,5
com.kokajin.applications.chessclock,Gaddam Suseela,Good 😊,5
com.kokajin.applications.chessclock,Vandana Gupta,The best app. I like it very much,5
com.kokajin.applications.chessclock,Quang Bách,Better than other chess clock apps,5
com.kokajin.applications.chessclock,John Holler,I guess it just took a while for the ads to be removed from every action. It all works fine now,5
com.kokajin.applications.chessclock,Deepa Aswal,Great app,5
com.kokajin.applications.chessclock,Bahman Jabbari,Good app,5
com.kokajin.applications.chessclock,Kervy Baring,Nice interface and You can use it in Full screen.. This is my Top 2 Chess Timer App...,5
com.kokajin.applications.chessclock,sreekanth Kc,Simply beautiful app,5
com.kokajin.applications.chessclock,Edward Klages,The only thing that prevented a 5 star rating is that I could find no way to set the FIDE mode to two stages instead of three. Everything else was great.,4
com.kokajin.applications.chessclock,Richard Albury,Great chess timer. My only issue is I do not see a way to exit the app.,4
com.kokajin.applications.chessclock,Shakti Goyal,Very good although it would be nice if it also contained history of previous matches.,5
com.kokajin.applications.chessclock,Prajwal Pabbuleti,Great app simple tet functinal I and my friend use it a lot while playing Being free is onemore thing I like about this app,5
com.kokajin.applications.chessclock,Aryan Mishra,Best app for this purpose.,5
com.kokajin.applications.chessclock,Sarmad Saad,Nice 🙂,5
com.kokajin.applications.chessclock,Mohit Kumar,Great I like it's features,5
com.kokajin.applications.chessclock,AboveU,"Best chess clock i've downloaded, it's built for modern android too and has the most customizability compared to other clocks. Edit: Only complaint is the inability to name presets or add notes to them, I like to have different time presets for different opponents so it would be appreciated.",4
