Package name,Reviewer name,Review,Rating
com.vanniktech.chessclock,Bharti Awasthi,best chess clock,5
com.vanniktech.chessclock,Ramon Tiwana Tiwana,Worst app ever..sucks..don't download it..ads keep popping up..too greedy,1
com.vanniktech.chessclock,mythri kn,hbuh,4
com.vanniktech.chessclock,Mohamed Bogy,علشان اغير ال thems مطلوب مني ادفع فلوس,1
com.vanniktech.chessclock,Aleksey Yatskovskiy,Awful,1
com.vanniktech.chessclock,Tayyab Mohammad,"Absolutely perfect....the app does exactly what it needs too, and a bit more....I actually discovered this app when I went for competition and the timers didn't work so our next alternative was the app....and that has to say something. The app is amazing and is easy to navigate around.....so thank you to the creators and developers of this app.",5
com.vanniktech.chessclock,Fabian Schocke (Indrome),"Uninstalled after 20 seconds. No horizontal orientation support, collects ad data en masse like your garden-variety website with no one-click opt-out. |||| Reply to dev: I use a tablet and place it standing next to the board, facing it, so we don't have to crane our necks over the table to read the timers. (In addition, about close to 100% of handheld devices these days are capable of horizontal orientation. Why wouldn't a utility app support that out of the box?)",1
com.vanniktech.chessclock,Ashish Shukla,that app is awesome,5
com.vanniktech.chessclock,Mitu Roy,Best timer to play chess I love vey much its very timer than the other chess timers I love it but I thing is bad is when a player moves any pices after clicking it the timer not produce any sound but only vibrate please add a sound other wise it very very good.,5
com.vanniktech.chessclock,Tomáš Peterka,"Great app! I would give 5 stars but there are very unclear terms when removing the ads. When I click the button I instantly get a message ""agree with terms - non-refundable"" where no terms were specified! Does it take a hundred dollars out of my card? Too scared to click the button. Please fix it",4
com.vanniktech.chessclock,Ferguson Banda,Poor,2
com.vanniktech.chessclock,Beena S,Super and great app,5
com.vanniktech.chessclock,High Risk Yt,funciona bien pero que explique su uso Xd 😅,5
com.vanniktech.chessclock,Target Noggin,The themes page needs serious rework to be more user friendly.,4
com.vanniktech.chessclock,Raghavendran raghu,ok this is super chess app,5
com.vanniktech.chessclock,T.R TECHNICAL,very good app,5
com.vanniktech.chessclock,Ronald Lau,"Like the sound on time end and turn change. To get 5 stars, fix the issue on remove ad and have a better custom theme colours options, custom alarm for finish.",4
com.vanniktech.chessclock,Ibrahim Algendy,Good,5
com.vanniktech.chessclock,NORVIN,Best 👍 thank you Keep it up,5
com.vanniktech.chessclock,Sathiyakumar Thirunavukkarasu,Love you,5
com.vanniktech.chessclock,Gabe Larsen,"Works exactly as it should. Only complaints are the format of the time always shows the hour (00:00:00) when most of the time it should just be minutes and seconds (00:00). Secondly, the banner ad is sometimes accidentally touched which can be annoying. Other than that great app",5
com.vanniktech.chessclock,Shivdin Pandey,Real chess clock timer !!!!!,5
com.vanniktech.chessclock,Amir Hossein Moazami,👌🏻,5
com.vanniktech.chessclock,bhupathi raju Raghu,It's a very good app,5
com.vanniktech.chessclock,ARUSH BOLE,best app for chess timing(you said thank you so welcome),5
