Package name,Reviewer name,Review,Rating
manastone.game.wcc.Google,Arthur Gonzales,Cool game,5.0
manastone.game.wcc.Google,Jay Bee,Good interface. Actually the best I found. Stars to play with free time lapse reload.. Pay to play. Winner doesn't get award. It's achievement. Fun. Play smart,5.0
manastone.game.wcc.Google,"Giducos, Ernesto T.",Learned to everyone in playing chess especially through the countries,5.0
manastone.game.wcc.Google,Sam Tshabalala,Cool !!! I've been playing this game for about 5 years now and still enjoying it but sheeeeeeesh.... Recently ads have taken their toll. They come in after every game and most of them doesn't go even if U want them to. U may try as much as U can but they linger on until their time expires. Some gets jammed and their 5 seconds timing gets to be one minute long because they jam and doesn't go. There is also an ads free app that we have to buy to remove them. Ouch... it is no more fun as before.,4.0
manastone.game.wcc.Google,Usama Rehman,Best experience,5.0
manastone.game.wcc.Google,It's Miracle,Worst graphic,1.0
manastone.game.wcc.Google,Robert Owen,Great competition. Great game.,5.0
manastone.game.wcc.Google,Tanya Williams,Makes you understand if things in your life moves diferent.,5.0
manastone.game.wcc.Google,Zachary Nelson,"Sometimes it says I won, but it still counts as a loss. I wish that this would get fixed. Other than that, this is a really good way to stay sharp and in your game.",3.0
manastone.game.wcc.Google,Fatima Fatima madni,I loved,5.0
manastone.game.wcc.Google,Harold King,Super,5.0
manastone.game.wcc.Google,Quincy Nelson,Valuable tool to improve chess skills!you get experience playing.,5.0
manastone.game.wcc.Google,Paul adonis Bulay,Fungame and educational,5.0
manastone.game.wcc.Google,Sydney Kamwandi,Good,3.0
manastone.game.wcc.Google,kavitha m,Good game for memory power it can be changing in my studies,5.0
manastone.game.wcc.Google,pavan kalyan,Good,2.0
manastone.game.wcc.Google,Subir Halder,Nice game,5.0
manastone.game.wcc.Google,Levienyl Reyes,Waste of time downloading,1.0
manastone.game.wcc.Google,GameDroid24,Do you wanna sale this whole APP with its servers. Because i wanna buy it. So please reply....,5.0
manastone.game.wcc.Google,Antonio Wright,Best app,5.0
manastone.game.wcc.Google,Vikash,this is the best chess game other chess games can't match it,5.0
manastone.game.wcc.Google,Emmanuel Zimba,It's nice but sometimes it's challenging pinpointing at certain areas,1.0
manastone.game.wcc.Google,Dean Kiger,"I love the Game . have been playing scence i was 7 years old im now 43 im super competitive, I love the fact that you get to play people all over the world good players from everywhere. Have been playing this game for months on end and it never gets old for me it is always fun and exciting. Playing people from all over the world so it's super cool for me. Thank you..",5.0
manastone.game.wcc.Google,Kiran Zinjade,Great gaming app,5.0
manastone.game.wcc.Google,Ava Holden,It's an amazing game I just wish that u could play with someone that u know as well so like the person u wanted to play with could create a server then there would be a code then u would put the code in and u would be able to play with them.,5.0
manastone.game.wcc.Google,Mohd Tousif,This is great gaming app,5.0
manastone.game.wcc.Google,Ahmed Alatar 86,Excellent 👍,5.0
manastone.game.wcc.Google,Michellene Ross,When ever I've played their always a problem,1.0
manastone.game.wcc.Google,Yuvraj Kote,Excellent.,5.0
manastone.game.wcc.Google,Guna 4u,Hate it ....when I wait for few minutes for next move it's automatically decide opponent wins..,1.0
manastone.game.wcc.Google,Rene Ortega,Nice game,5.0
manastone.game.wcc.Google,MD EYASIN ARAFAT,This good and heavy service,5.0
manastone.game.wcc.Google,Ganja Kalyan,Supper game,5.0
manastone.game.wcc.Google,Quuncy Nelson,Games are great!,5.0
manastone.game.wcc.Google,Joe Cantu,I enjoy playing others from around the world,5.0
manastone.game.wcc.Google,SALMAN JAVED,My favorite game which is played in whole whole stage,5.0
manastone.game.wcc.Google,Olaniyi Olamilekan,Excellent,5.0
