Package name,Reviewer name,Review,Rating
pl.lukok.chess,satyaveeru guda,खुप छान आहे,4
pl.lukok.chess,Vikas Jatothu,Good,5
pl.lukok.chess,Tripoli Tek,I love the app it's just perfect 😍,5
pl.lukok.chess,satosh reddy,good,4
pl.lukok.chess,mimoni gangkak,This is the worst app. you can play only 2 games at a time. After that have to watch ad for power blizt to continue the game.,1
pl.lukok.chess,Connor Watson,"Good game, little confused how the a.i can make movies I can't but it's free.",2
pl.lukok.chess,mahi,nice,5
pl.lukok.chess,Chayan Suthar,amazing,5
pl.lukok.chess,Dedeepya Eluri,I am jashi I like chess but didn't no but learn how to play I like this chess good game no ads 😊😊,5
pl.lukok.chess,James Hastings-Spaine,Brain Food,5
pl.lukok.chess,Hasan Dervis,wish there was a multiplayer option for 2 people to play together on the same phone,4
pl.lukok.chess,LASISI ADIRU,nice,5
pl.lukok.chess,Haradhan Nar,happy,5
pl.lukok.chess,Araitha Brahma,love it,4
pl.lukok.chess,umesh ghongate,good,5
pl.lukok.chess,Sagar Mureliya,full,5
pl.lukok.chess,Deepak Deepak kumar,nice game,3
pl.lukok.chess,Sampad Samanta,very nice,5
pl.lukok.chess,tonu Rana,Fch,5
pl.lukok.chess,Fernandez Adhrian,"2 games per open , y'all are dumb",1
pl.lukok.chess,Minh Châu Dương Đỗ,"If you like crashing during play, choose this app",1
pl.lukok.chess,Stefan,its a good app thank u,5
pl.lukok.chess,Nitin Sharma,very good,5
pl.lukok.chess,Lawrence Smit,I have been using the app for a while and everything was good. But nowadays it looses connection regularly during games and you have to resign to get out. I now Uninstalled it.,1
pl.lukok.chess,sanuka Lonija,nice,5
pl.lukok.chess,Gopal maity,nice,5
pl.lukok.chess,Badshah Khan,869187. 👊5576,4
pl.lukok.chess,shriom bharati,best,5
pl.lukok.chess,Hridoy Roy,great,5
pl.lukok.chess,HEMAA HARRINI,Awesome 😍😍,5
pl.lukok.chess,Dabhi Rajesh,good,4
pl.lukok.chess,royal 143,super game,5
pl.lukok.chess,mr Reegan,very nice,5
pl.lukok.chess,Akhil Balakrishnan,nice and super game,5
pl.lukok.chess,Pravin Kadam,nice,5
pl.lukok.chess,Yogesh Sagar,good,2
pl.lukok.chess,Abhay Tiwari,abhay kumar tiwari,5
pl.lukok.chess,Firoj Ansari,Nice,5
pl.lukok.chess,Darshan Raj purohit,Like a better game than Ludo and free fire,5
pl.lukok.chess,Lakkappa Kadapatti,good,5
pl.lukok.chess,Rebin S J,love,5
pl.lukok.chess,Mohammed Sofiyan,nice game,5
pl.lukok.chess,Deepak Kumar,good,5
pl.lukok.chess,Udaya Nath Parhi,very interesting game,5
pl.lukok.chess,Abhitesh pawar,my dream game,5
pl.lukok.chess,Trent Lewis,Can't play with friends online anymore. So i deleted the app. It's a shame since i had been playing with family across the county for almost 2 years.,1
pl.lukok.chess,muttanna hadpad,Not good feature,1
pl.lukok.chess,Smith Brown,Lots of ads,2
pl.lukok.chess,H F Zaidi,I love it ❤ it's help me a lot to leave chess this app is amazing to make my day amazing. today I was upset because of some reason but this app makes my day incredibly amazing. 👍😍🤩,5
pl.lukok.chess,Ranjith Fltz,koi,3
pl.lukok.chess,Afaq Alam,to good,5
pl.lukok.chess,Ram roop Singh,this is most helpful app for learning and revising of chess,5
pl.lukok.chess,NAVEEN VIKKURTHI,Excellent,5
pl.lukok.chess,Emeka Awa,"this is looking nice, very enjoyable in my alone times,if only they could follow the trend and incorporate a feature where real money can be earned by the players",5
pl.lukok.chess,Hardika and kartik show,bestttttttttt,5
pl.lukok.chess,Habib Shaikh,good,3
pl.lukok.chess,Uttam Acharjee,I Love chess,5
pl.lukok.chess,Samrat cricket club kanad,AWESOME,4
pl.lukok.chess,Navneet Gupta,op,5
pl.lukok.chess,Azizul Haque,wonderful,5
pl.lukok.chess,Boya LOKESH,super,1
pl.lukok.chess,Prakash Dhami,good,5
pl.lukok.chess,Jed Khan,"Just one word, NOICE!",4
pl.lukok.chess,JayJay Jack,Keep reconected even my signal is in good condition.,1
pl.lukok.chess,Jacoby Crane,"It's okay, but I downloaded it as it said ""play with friends"" but I can't see an option to play with a friend. Either it lied or it's so well hidden I keep missing it.",3
pl.lukok.chess,Rakesh RAja,very nice,5
pl.lukok.chess,Raffy Mohammed,😘😘😘😘,5
pl.lukok.chess,Sibarama Pradhan,exelent,4
pl.lukok.chess,Md Arman,good,5
pl.lukok.chess,shruti Patil,nice ☺️,5
pl.lukok.chess,Sudarshan kumar,mind blowing game mind freshor,5
pl.lukok.chess,Santosh Kumar kushwaha,Very nice game,5
pl.lukok.chess,Ankit raj Indian solder,good,5
pl.lukok.chess,naveen kumar,Game is getting stucked in between the play,1
pl.lukok.chess,Prince Singh,ok,5
pl.lukok.chess,Gyasuddin Ansari,Best game,5
pl.lukok.chess,RFM Mangalore,Waste game,1
pl.lukok.chess,Sorng Vanny,ច្បាស់ៗ,5
pl.lukok.chess,Nikhil Kumar,nyc,5
pl.lukok.chess,fauji ali,awesome,5
pl.lukok.chess,Gagan H P Gagan,super,5
pl.lukok.chess,jamie thompson,Great game I love it,5
pl.lukok.chess,Mark Moyer,"""Clash"" anything is wonderful!!",5
pl.lukok.chess,Anahdeep Singh,I like chess it's a agme when you can pay when your board there many other chess games that may cost money but not this on you can play with real player ai and pick a level I'm new to chess which means I bad but 3 hours later Im good at chess. out at the app store there probably other ones that are on computer laptops but for mobile this is the one I couldnt imaginge a better chess game then this.,5
pl.lukok.chess,Siddharth Gupta,I am so mad at this game because of the Online mode when I Play with a Random player and I have enough time left and opponent team don't have enough timer and his time run out then from that it's say Disconnected suddenly my Timer set at 10 sec and I Lost I am So mad 😠😡 I recommend that don't Download this Game other wise Developer do something !,1
pl.lukok.chess,Efren Timosan,Stupid game the online mode is have energy the if had enoughit need watch advertisement so boring,1
pl.lukok.chess,Fahim Uddin,marvellous,5
pl.lukok.chess,rahim shaikh,good,1
pl.lukok.chess,Rahul sanwria,good,3
pl.lukok.chess,Anil Kumar,it makes me good at chess,5
pl.lukok.chess,محمد راهول علي,GREAT GAME,5
pl.lukok.chess,James Bancroft,Your server sucks! Disconnects every other game. Pointless to keep playing when you're making crazy addbrevenue from it!,1
pl.lukok.chess,Krishna Yadav,So bad 😞,1
pl.lukok.chess,Eusebio Muñez,disconnection always,1
pl.lukok.chess,Gaurav Rajput,nil,3
pl.lukok.chess,sharath Kasagoni,good,5
pl.lukok.chess,Abdulla Faraj,The matchmaking is so bad in my first 10 games i played against 7 players with 100+ wins 1 of them was 2000 wins,1
pl.lukok.chess,pipit diah,rono,5
pl.lukok.chess,Alejandro Porras,great app,5
pl.lukok.chess,lakshmi dhanekula,supar,5
pl.lukok.chess,Mohit Damor,itss wonderfullllll,5
pl.lukok.chess,Ritesh Kumar,too much ad,3
pl.lukok.chess,Harshal Kadu,This is best chess gema,5
pl.lukok.chess,Pukar Chhetri,Worst chess game app.,1
pl.lukok.chess,Pankaj Rodiwal,ok,1
pl.lukok.chess,Gagandeep “Gagan” Dhuriya,Nice 👍😊😊👍👍,5
pl.lukok.chess,D V RAMANA Bavirisetti,good,5
pl.lukok.chess,Vasantarao Deshmukh,I LOVE YOU CHESS❤️❤️❤️,5
pl.lukok.chess,Ahem,"Worst experience I have ever had, timer doesn't reset when I do my move it eventually reaches the limit and game over u lose",1
pl.lukok.chess,Kishor Luhar,mast,4
pl.lukok.chess,Augustine Mugambi,good,4
pl.lukok.chess,Canuta Alexandru Marius,to nanny adds,3
pl.lukok.chess,Anesu Fxgoat,Very good,5
pl.lukok.chess,Hansraj Vaishnav,"Very bad very bad don't instaal Very wrost app ,यार तेरा भाई 20000 जीत गया है लूडो चूस कर ये एड अपनी मां छुड़ा रहा हे",1
pl.lukok.chess,Markus,Top g,5
